t_monotonic,ax,ay,az,gx,gy,gz
327698.078000,-0.571,-0.724,-0.142,19.56,44.07,7.05
327698.078000,-0.568,-0.742,-0.144,16.97,43.46,7.72
327698.078000,-0.559,-0.772,-0.155,14.83,42.02,8.97
327698.093000,-0.556,-0.798,-0.187,13.03,41.29,9.83
327698.109000,-0.557,-0.819,-0.209,12.24,42.21,10.8
327698.125000,-0.561,-0.837,-0.205,12.24,43.95,11.87
327698.125000,-0.57,-0.831,-0.195,12.02,44.47,13.03
327698.140000,-0.584,-0.823,-0.182,11.14,43.09,14.34
327698.156000,-0.598,-0.811,-0.18,10.22,39.89,15.35
327698.156000,-0.603,-0.793,-0.182,8.12,35.8,17.37
327698.171000,-0.609,-0.787,-0.189,6.26,32.32,19.65
327698.187000,-0.61,-0.794,-0.209,4.88,30.03,20.63
327698.187000,-0.614,-0.817,-0.199,1.04,28.84,19.26
327698.203000,-0.631,-0.838,-0.196,-2.11,28.32,15.35
327698.203000,-0.635,-0.824,-0.186,-2.93,29.24,11.47
327698.218000,-0.639,-0.811,-0.179,-2.11,30.03,8.45
327698.234000,-0.645,-0.8,-0.156,-1.59,30.3,6.62
327698.234000,-0.644,-0.782,-0.14,-0.92,28.9,5.43
327698.250000,-0.645,-0.756,-0.145,-0.95,26.61,5.43
327698.265000,-0.646,-0.754,-0.135,-1.71,24.2,6.62
327698.265000,-0.636,-0.76,-0.121,-0.7,21.06,7.63
327698.281000,-0.618,-0.789,-0.127,3.17,18.65,8.3
327698.281000,-0.6,-0.797,-0.148,7.45,17.82,7.78
327698.296000,-0.58,-0.784,-0.158,9.7,18.59,6.2
327698.312000,-0.568,-0.773,-0.162,9.55,19.59,4.36
327698.328000,-0.571,-0.766,-0.157,7.02,20.02,2.96
327698.328000,-0.569,-0.762,-0.142,3.72,19.65,2.47
327698.343000,-0.567,-0.764,-0.132,1.65,18.68,2.69
327698.343000,-0.569,-0.775,-0.13,1.4,17.58,3.39
327698.359000,-0.564,-0.796,-0.124,2.81,16.42,3.36
327698.375000,-0.56,-0.807,-0.125,5.34,15.81,1.77
327698.375000,-0.569,-0.796,-0.136,8.51,16.33,-0.09
327698.390000,-0.577,-0.785,-0.144,10.65,17.7,-1.56
327698.406000,-0.577,-0.778,-0.147,11.44,19.14,-2.01
327698.406000,-0.584,-0.779,-0.147,11.84,20.29,-1.8
327698.421000,-0.597,-0.78,-0.144,10.16,20.33,-0.58
327698.421000,-0.602,-0.787,-0.134,7.9,19.41,0.82
327698.437000,-0.606,-0.808,-0.125,7.45,18.49,2.32
327698.453000,-0.613,-0.826,-0.122,7.6,16.82,3.36
327698.468000,-0.616,-0.837,-0.125,7.45,14.4,3.63
327698.468000,-0.605,-0.842,-0.127,7.54,12.48,3.42
327698.484000,-0.589,-0.842,-0.134,7.97,10.96,2.93
327698.484000,-0.573,-0.836,-0.141,8.76,10.19,2.38
327698.500000,-0.556,-0.828,-0.137,8.39,10.1,1.71
327698.515000,-0.548,-0.82,-0.123,6.93,9.58,0.64
327698.515000,-0.55,-0.817,-0.105,4.7,8.21,-0.61
327698.531000,-0.562,-0.817,-0.096,3.23,6.84,-1.19
327698.531000,-0.564,-0.825,-0.099,3.57,5.4,-1.28
327698.546000,-0.555,-0.824,-0.104,3.08,3.72,-1.19
327698.562000,-0.549,-0.82,-0.104,2.26,2.93,-1.31
327698.578000,-0.55,-0.822,-0.103,2.2,3.02,-1.1
327698.578000,-0.551,-0.822,-0.101,2.44,3.02,-0.46
