trial_index,gesture,t_start,t_end,accepted
1,Pull,327719.687000,327721.734000,1
2,Pull,327726.750000,327728.828000,1
3,Pull,327732.125000,327734.203000,1
4,Pull,327736.750000,327738.750000,1
5,Pull,327741.640000,327743.734000,1
6,Pull,327746.687000,327748.687000,1
7,Pull,327751.015000,327753.093000,1
8,Pull,327756.078000,327758.187000,1
9,Push,327763.875000,327765.968000,1
10,Push,327787.000000,327789.078000,0
10,Push,327804.187000,327806.250000,1
11,Push,327809.734000,327811.796000,1
12,Push,327814.906000,327817.000000,1
13,Push,327819.890000,327821.968000,1
14,Push,327824.875000,327826.968000,1
15,Push,327829.906000,327831.953000,1
16,Push,327835.343000,327837.437000,1
17,Right,327860.296000,327862.375000,1
18,Right,327983.812000,327985.859000,1
19,Right,327992.328000,327994.406000,1
20,Right,328009.765000,328011.859000,1
21,Right,328016.375000,328018.453000,1
22,Right,328022.109000,328024.171000,1
23,Right,328027.984000,328030.031000,1
24,Right,328033.750000,328035.843000,1
25,Left,328042.265000,328044.343000,1
26,Left,328047.890000,328049.953000,1
27,Left,328053.640000,328055.687000,1
28,Left,328059.125000,328061.171000,1
29,Left,328064.281000,328066.328000,1
30,Left,328069.968000,328072.046000,1
31,Left,328075.421000,328077.484000,1
32,Left,328081.062000,328083.093000,1
33,Clapping,328100.031000,328102.078000,1
34,Clapping,328105.125000,328107.203000,1
35,Clapping,328110.546000,328112.609000,1
36,Clapping,328115.656000,328117.734000,1
37,Clapping,328120.562000,328122.625000,1
38,Clapping,328125.062000,328127.125000,1
39,Clapping,328129.875000,328131.921000,1
40,Clapping,328134.265000,328136.296000,1
