t_monotonic,event,trial_index,gesture,note
233232.199029,trial_start,1,Pull,
233234.254740,trial_end,1,Pull,
233237.533284,trial_accept,1,Pull,
233241.661106,trial_start,2,Pull,
233243.686841,trial_end,2,Pull,
233245.524213,trial_accept,2,Pull,
233247.101335,trial_start,3,Pull,
233249.127597,trial_end,3,Pull,
233250.968502,trial_accept,3,Pull,
233256.820919,trial_start,4,Pull,
233258.875984,trial_end,4,Pull,
233260.487520,trial_accept,4,Pull,
233262.022387,trial_start,5,Pull,
233264.053332,trial_end,5,Pull,
233265.538614,trial_accept,5,Pull,
233267.099997,trial_start,6,Pull,
233269.119108,trial_end,6,Pull,
233282.127537,trial_reject,6,Pull,repeat requested
233284.876454,trial_start,6,Pull,
233286.898092,trial_end,6,Pull,
233288.722903,trial_accept,6,Pull,
233321.253253,trial_start,7,Push,
233323.329598,trial_end,7,Push,
233325.033640,trial_accept,7,Push,
233326.756400,trial_start,8,Push,
233328.777694,trial_end,8,Push,
233334.310984,trial_reject,8,Push,repeat requested
233335.536346,trial_start,8,Push,
233337.556979,trial_end,8,Push,
233339.179965,trial_accept,8,Push,
233341.377138,trial_start,9,Push,
233343.394182,trial_end,9,Push,
233345.079129,trial_accept,9,Push,
233347.358834,trial_start,10,Push,
233349.406538,trial_end,10,Push,
233350.909648,trial_accept,10,Push,
233355.474456,trial_start,11,Push,
233357.493237,trial_end,11,Push,
233358.897041,trial_accept,11,Push,
233360.886926,trial_start,12,Push,
233362.906732,trial_end,12,Push,
233364.415300,trial_accept,12,Push,
233374.140382,trial_start,13,Right,
233376.155506,trial_end,13,Right,
233377.591416,trial_accept,13,Right,
233379.801158,trial_start,14,Right,
233381.837892,trial_end,14,Right,
233384.699810,trial_accept,14,Right,
233385.853918,trial_start,15,Right,
233387.866708,trial_end,15,Right,
233390.680001,trial_accept,15,Right,
233391.754718,trial_start,16,Right,
233393.774094,trial_end,16,Right,
233395.163962,trial_accept,16,Right,
233397.757810,trial_start,17,Right,
233399.779210,trial_end,17,Right,
233401.263204,trial_accept,17,Right,
233404.121744,trial_start,18,Right,
233406.148237,trial_end,18,Right,
233407.312268,trial_accept,18,Right,
233412.415447,trial_start,19,Left,
233414.432637,trial_end,19,Left,
233416.144215,trial_accept,19,Left,
233418.009834,trial_start,20,Left,
233420.025927,trial_end,20,Left,
233422.555608,trial_accept,20,Left,
233426.063757,trial_start,21,Left,
233428.085540,trial_end,21,Left,
233429.598121,trial_accept,21,Left,
233431.460484,trial_start,22,Left,
233433.478917,trial_end,22,Left,
233434.912076,trial_accept,22,Left,
233437.252188,trial_start,23,Left,
233439.271918,trial_end,23,Left,
233446.221150,trial_accept,23,Left,
233448.270899,trial_start,24,Left,
233450.286806,trial_end,24,Left,
233452.501506,trial_accept,24,Left,
