trial_index,gesture,t_start,t_end,accepted
1,Pull,233232.199029,233234.254740,1
2,Pull,233241.661106,233243.686841,1
3,Pull,233247.101335,233249.127597,1
4,Pull,233256.820919,233258.875984,1
5,Pull,233262.022387,233264.053332,1
6,Pull,233267.099997,233269.119108,0
6,Pull,233284.876454,233286.898092,1
7,Push,233321.253253,233323.329598,1
8,Push,233326.756400,233328.777694,0
8,Push,233335.536346,233337.556979,1
9,Push,233341.377138,233343.394182,1
10,Push,233347.358834,233349.406538,1
11,Push,233355.474456,233357.493237,1
12,Push,233360.886926,233362.906732,1
13,Right,233374.140382,233376.155506,1
14,Right,233379.801158,233381.837892,1
15,Right,233385.853918,233387.866708,1
16,Right,233391.754718,233393.774094,1
17,Right,233397.757810,233399.779210,1
18,Right,233404.121744,233406.148237,1
19,Left,233412.415447,233414.432637,1
20,Left,233418.009834,233420.025927,1
21,Left,233426.063757,233428.085540,1
22,Left,233431.460484,233433.478917,1
23,Left,233437.252188,233439.271918,1
24,Left,233448.270899,233450.286806,1
