t_monotonic,ax,ay,az,gx,gy,gz
325164.078000,-0.366,-0.609,0.709,-1.04,-14.47,1.92
325164.093000,-0.363,-0.601,0.704,-1.1,-15.38,2.81
325164.093000,-0.359,-0.585,0.698,-1.83,-15.78,3.6
325164.093000,-0.359,-0.576,0.698,-3.11,-15.69,4.55
325164.109000,-0.359,-0.571,0.714,-3.85,-15.66,6.16
325164.125000,-0.36,-0.559,0.724,-3.88,-16.48,7.72
325164.125000,-0.37,-0.539,0.733,-4.24,-17.79,9.4
325164.140000,-0.375,-0.527,0.741,-4.61,-18.95,11.99
325164.156000,-0.373,-0.512,0.751,-5.49,-20.2,14.8
325164.156000,-0.373,-0.499,0.753,-7.42,-21.73,17.58
325164.171000,-0.37,-0.491,0.752,-10.1,-23.29,20.05
325164.187000,-0.375,-0.481,0.756,-12.51,-24.63,22.43
325164.187000,-0.382,-0.485,0.756,-14.4,-25.97,25.45
325164.203000,-0.381,-0.521,0.73,-16.48,-28.2,29.79
325164.203000,-0.362,-0.584,0.696,-19.96,-30.73,34.15
325164.218000,-0.344,-0.651,0.677,-20.57,-32.69,36.38
325164.218000,-0.332,-0.688,0.668,-15.75,-32.53,35.65
325164.234000,-0.313,-0.7,0.647,-10.9,-30.7,33.97
325164.250000,-0.296,-0.705,0.621,-7.32,-27.44,31.77
325164.250000,-0.292,-0.693,0.623,-5.34,-23.99,30.0
325164.265000,-0.289,-0.681,0.628,-4.67,-20.6,28.53
325164.281000,-0.304,-0.648,0.674,-4.64,-17.94,27.19
325164.281000,-0.318,-0.625,0.716,-4.76,-16.88,26.83
325164.296000,-0.335,-0.593,0.76,-4.3,-17.52,27.04
325164.296000,-0.352,-0.555,0.778,-3.3,-19.41,28.47
325164.312000,-0.371,-0.529,0.78,-3.66,-21.33,31.07
325164.328000,-0.392,-0.516,0.785,-6.9,-23.41,34.52
325164.343000,-0.404,-0.512,0.788,-12.73,-26.4,38.09
325164.343000,-0.411,-0.517,0.792,-18.46,-29.79,41.63
325164.359000,-0.411,-0.522,0.787,-22.4,-33.45,44.74
325164.375000,-0.407,-0.519,0.771,-25.27,-36.56,47.7
325164.375000,-0.406,-0.526,0.758,-27.22,-38.48,50.81
325164.390000,-0.404,-0.548,0.744,-29.51,-39.98,54.14
325164.406000,-0.4,-0.564,0.734,-31.31,-41.2,56.37
325164.406000,-0.402,-0.577,0.727,-31.71,-41.87,57.47
325164.406000,-0.404,-0.59,0.71,-31.46,-42.21,58.6
325164.421000,-0.401,-0.601,0.704,-31.16,-42.57,59.36
325164.453000,-0.403,-0.612,0.696,-30.92,-43.24,59.6
325164.453000,-0.403,-0.631,0.686,-30.37,-44.22,60.03
325164.468000,-0.397,-0.65,0.669,-29.51,-44.89,60.18
325164.468000,-0.392,-0.67,0.654,-28.44,-44.71,59.63
325164.484000,-0.383,-0.699,0.644,-26.7,-43.86,58.32
325164.500000,-0.375,-0.711,0.633,-24.51,-42.36,55.76
325164.500000,-0.374,-0.718,0.634,-21.7,-40.01,53.01
325164.500000,-0.375,-0.727,0.632,-17.4,-37.51,51.52
325164.515000,-0.371,-0.744,0.624,-13.34,-35.37,51.06
325164.515000,-0.362,-0.76,0.621,-10.62,-34.06,49.71
325164.546000,-0.358,-0.771,0.617,-8.58,-32.93,47.33
325164.546000,-0.358,-0.775,0.612,-6.04,-31.25,44.83
325164.562000,-0.353,-0.772,0.594,-4.43,-28.99,41.63
325164.578000,-0.361,-0.77,0.605,-5.89,-25.24,37.63
325164.578000,-0.372,-0.782,0.629,-7.72,-21.88,34.73
325164.593000,-0.388,-0.789,0.652,-8.85,-19.99,31.89
325164.609000,-0.402,-0.803,0.676,-10.1,-20.02,29.21
325164.609000,-0.416,-0.831,0.683,-10.93,-21.73,26.89
325164.625000,-0.419,-0.857,0.678,-10.16,-23.53,24.02
325164.625000,-0.418,-0.872,0.666,-7.78,-24.29,21.03
325164.640000,-0.413,-0.88,0.661,-4.85,-24.38,17.76
325164.656000,-0.404,-0.875,0.651,-1.62,-24.51,14.13
325164.656000,-0.393,-0.873,0.633,-0.09,-25.03,10.99
325164.671000,-0.381,-0.876,0.62,-0.31,-25.18,8.67
