trial_index,gesture,t_start,t_end,accepted
1,Pull,325205.000000,325207.000000,1
2,Pull,325211.734000,325213.781000,1
3,Pull,325217.656000,325219.718000,1
4,Pull,325223.359000,325225.359000,1
5,Pull,325234.578000,325236.625000,1
6,Pull,325243.296000,325245.375000,1
7,Pull,325253.406000,325255.500000,1
8,Pull,325260.781000,325262.828000,1
9,Push,325269.031000,325271.062000,0
10,Push,325350.796000,325352.875000,1
11,Push,325357.265000,325359.328000,1
12,Push,325365.906000,325367.968000,1
13,Push,325373.187000,325375.234000,1
14,Push,325387.750000,325389.828000,1
15,Push,325396.828000,325398.906000,1
16,Push,325402.781000,325404.781000,1
17,Right,325420.062000,325422.125000,1
18,Right,325426.937000,325429.015000,1
19,Right,325432.609000,325434.703000,1
20,Right,325437.828000,325439.890000,1
21,Right,325445.375000,325447.468000,1
22,Right,325453.046000,325455.125000,1
23,Right,325459.812000,325461.906000,1
24,Right,325465.406000,325467.484000,1
25,Left,325475.953000,325477.968000,1
26,Left,325482.593000,325484.656000,1
27,Left,325487.750000,325489.812000,1
28,Left,325492.671000,325494.734000,1
29,Left,325498.859000,325500.921000,1
30,Left,325504.625000,325506.734000,1
31,Left,325510.859000,325512.921000,1
32,Left,325518.671000,325520.718000,1
33,Clapping,325526.796000,325528.843000,1
34,Clapping,325533.250000,325535.281000,1
35,Clapping,325537.875000,325539.937000,1
36,Clapping,325542.203000,325544.296000,1
37,Clapping,325546.625000,325548.671000,1
38,Clapping,325550.296000,325552.296000,1
39,Clapping,325554.156000,325556.203000,1
40,Clapping,325558.140000,325560.218000,1
