trial_index,gesture,t_start,t_end,accepted
1,Clockwise,336114.265000,336116.296000,0
1,Clockwise,336163.031000,336165.093000,1
2,Clockwise,336213.375000,336215.468000,1
3,Clockwise,336219.859000,336221.953000,1
4,Clockwise,336225.140000,336227.250000,1
5,Clockwise,336234.125000,336236.140000,1
6,Clockwise,336239.250000,336241.312000,1
7,Clockwise,336247.031000,336249.078000,1
8,Clockwise,336251.906000,336253.968000,1
9,Clockwise,336274.515000,336276.593000,1
10,Clockwise,336301.421000,336303.468000,1
11,Anti-clockwise,336323.375000,336325.437000,1
12,Anti-clockwise,336331.953000,336333.968000,1
13,Anti-clockwise,336346.968000,336349.015000,0
13,Anti-clockwise,336369.000000,336371.046000,1
14,Anti-clockwise,336380.031000,336382.078000,1
15,Anti-clockwise,336386.218000,336388.265000,1
16,Anti-clockwise,336394.906000,336396.921000,1
17,Anti-clockwise,336405.765000,336407.781000,1
18,Anti-clockwise,336411.031000,336413.093000,1
19,Anti-clockwise,336417.687000,336419.765000,1
20,Anti-clockwise,336422.437000,336424.484000,1
21,Right,336432.234000,336434.265000,1
22,Right,336437.375000,336439.406000,1
23,Right,336441.953000,336444.000000,1
24,Right,336452.593000,336454.656000,1
25,Right,336457.468000,336459.515000,0
25,Right,336465.468000,336467.515000,1
26,Right,336473.406000,336475.406000,1
27,Right,336478.109000,336480.140000,1
28,Right,336501.734000,336503.781000,1
29,Right,336506.203000,336508.234000,1
30,Right,336510.281000,336512.375000,1
31,Left,336517.937000,336519.984000,1
32,Left,336522.125000,336524.187000,1
33,Left,336526.265000,336528.296000,1
34,Left,336530.484000,336532.515000,1
35,Left,336535.265000,336537.328000,1
36,Left,336539.687000,336541.718000,1
37,Left,336544.187000,336546.234000,1
38,Left,336554.093000,336556.171000,1
39,Left,336565.031000,336567.046000,1
40,Left,336571.453000,336573.484000,1
41,Bye-Bye,336613.718000,336615.750000,1
42,Bye-Bye,336618.093000,336620.125000,1
43,Bye-Bye,336621.859000,336623.906000,1
44,Bye-Bye,336625.937000,336627.953000,1
45,Bye-Bye,336630.062000,336632.109000,1
46,Bye-Bye,336654.968000,336657.015000,1
