t_monotonic,event,trial_index,gesture,note
502151.578000,trial_start,1,Clockwise,
502153.640000,trial_end,1,Clockwise,
502157.406000,trial_accept,1,Clockwise,
502159.531000,trial_start,2,Clockwise,
502161.609000,trial_end,2,Clockwise,
502163.562000,trial_accept,2,Clockwise,
502165.218000,trial_start,3,Clockwise,
502167.218000,trial_end,3,Clockwise,
502169.984000,trial_accept,3,Clockwise,
502172.218000,trial_start,4,Clockwise,
502174.265000,trial_end,4,Clockwise,
502175.718000,trial_accept,4,Clockwise,
502176.812000,trial_start,5,Clockwise,
502178.890000,trial_end,5,Clockwise,
502180.296000,trial_accept,5,Clockwise,
502182.484000,trial_start,6,Clockwise,
502184.531000,trial_end,6,Clockwise,
502189.562000,trial_accept,6,Clockwise,
502191.343000,trial_start,7,Clockwise,
502193.437000,trial_end,7,Clockwise,
502201.296000,trial_accept,7,Clockwise,
502203.875000,trial_start,8,Clockwise,
502205.937000,trial_end,8,Clockwise,
502208.375000,trial_accept,8,Clockwise,
502221.500000,trial_start,9,Clockwise,
502223.562000,trial_end,9,Clockwise,
502226.390000,trial_accept,9,Clockwise,
502229.578000,trial_start,10,Clockwise,
502231.656000,trial_end,10,Clockwise,
502232.609000,trial_accept,10,Clockwise,
502239.968000,trial_start,11,Anti-clockwise,
502242.031000,trial_end,11,Anti-clockwise,
502243.906000,trial_accept,11,Anti-clockwise,
502245.015000,trial_start,12,Anti-clockwise,
502247.093000,trial_end,12,Anti-clockwise,
502248.546000,trial_accept,12,Anti-clockwise,
502249.375000,trial_start,13,Anti-clockwise,
502251.390000,trial_end,13,Anti-clockwise,
502252.421000,trial_accept,13,Anti-clockwise,
502253.078000,trial_start,14,Anti-clockwise,
502255.140000,trial_end,14,Anti-clockwise,
502256.109000,trial_accept,14,Anti-clockwise,
502256.984000,trial_start,15,Anti-clockwise,
502259.031000,trial_end,15,Anti-clockwise,
502263.265000,trial_accept,15,Anti-clockwise,
502264.937000,trial_start,16,Anti-clockwise,
502267.015000,trial_end,16,Anti-clockwise,
502269.328000,trial_accept,16,Anti-clockwise,
502270.015000,trial_start,17,Anti-clockwise,
502272.109000,trial_end,17,Anti-clockwise,
502281.031000,trial_accept,17,Anti-clockwise,
502282.546000,trial_start,18,Anti-clockwise,
502284.656000,trial_end,18,Anti-clockwise,
502286.046000,trial_accept,18,Anti-clockwise,
502287.265000,trial_start,19,Anti-clockwise,
502289.359000,trial_end,19,Anti-clockwise,
502290.406000,trial_accept,19,Anti-clockwise,
502291.468000,trial_start,20,Anti-clockwise,
502293.546000,trial_end,20,Anti-clockwise,
502294.609000,trial_accept,20,Anti-clockwise,
502309.453000,trial_start,21,Right,
502311.531000,trial_end,21,Right,
502313.093000,trial_accept,21,Right,
502314.765000,trial_start,22,Right,
502316.812000,trial_end,22,Right,
502318.593000,trial_accept,22,Right,
502319.828000,trial_start,23,Right,
502321.921000,trial_end,23,Right,
502322.828000,trial_accept,23,Right,
502324.640000,trial_start,24,Right,
502326.687000,trial_end,24,Right,
502327.812000,trial_accept,24,Right,
502329.218000,trial_start,25,Right,
502331.296000,trial_end,25,Right,
502332.281000,trial_accept,25,Right,
502333.953000,trial_start,26,Right,
502336.046000,trial_end,26,Right,
502336.843000,trial_accept,26,Right,
502338.687000,trial_start,27,Right,
502340.765000,trial_end,27,Right,
502341.609000,trial_accept,27,Right,
502343.359000,trial_start,28,Right,
502345.421000,trial_end,28,Right,
502346.359000,trial_accept,28,Right,
502348.250000,trial_start,29,Right,
502350.312000,trial_end,29,Right,
502351.218000,trial_accept,29,Right,
502353.109000,trial_start,30,Right,
502355.187000,trial_end,30,Right,
502356.734000,trial_accept,30,Right,
502363.781000,trial_start,31,Left,
502365.875000,trial_end,31,Left,
502367.000000,trial_accept,31,Left,
502368.468000,trial_start,32,Left,
502370.531000,trial_end,32,Left,
502371.718000,trial_accept,32,Left,
502373.187000,trial_start,33,Left,
502375.250000,trial_end,33,Left,
502376.093000,trial_accept,33,Left,
502377.765000,trial_start,34,Left,
502379.828000,trial_end,34,Left,
502381.125000,trial_accept,34,Left,
502382.437000,trial_start,35,Left,
502384.515000,trial_end,35,Left,
502385.546000,trial_accept,35,Left,
502387.234000,trial_start,36,Left,
502389.296000,trial_end,36,Left,
502390.468000,trial_accept,36,Left,
502392.000000,trial_start,37,Left,
502394.062000,trial_end,37,Left,
502395.109000,trial_accept,37,Left,
502396.625000,trial_start,38,Left,
502398.656000,trial_end,38,Left,
502399.859000,trial_accept,38,Left,
502401.265000,trial_start,39,Left,
502403.343000,trial_end,39,Left,
502405.031000,trial_accept,39,Left,
502406.968000,trial_start,40,Left,
502409.046000,trial_end,40,Left,
502409.984000,trial_accept,40,Left,
502414.937000,trial_start,41,Bye-Bye,
502417.000000,trial_end,41,Bye-Bye,
502422.390000,trial_accept,41,Bye-Bye,
502423.484000,trial_start,42,Bye-Bye,
502425.531000,trial_end,42,Bye-Bye,
502426.906000,trial_accept,42,Bye-Bye,
502428.375000,trial_start,43,Bye-Bye,
502430.453000,trial_end,43,Bye-Bye,
502431.328000,trial_accept,43,Bye-Bye,
502432.453000,trial_start,44,Bye-Bye,
502434.453000,trial_end,44,Bye-Bye,
502436.937000,trial_accept,44,Bye-Bye,
502437.875000,trial_start,45,Bye-Bye,
502439.937000,trial_end,45,Bye-Bye,
