t_monotonic,ax,ay,az,gx,gy,gz
502070.343000,-0.303,-0.34,1.01,-118.08,-34.58,144.26
502070.390000,-0.484,-0.697,0.849,-116.58,-31.07,91.37
502070.437000,-0.566,-0.73,0.699,-74.95,-30.88,57.28
502070.484000,-0.571,-0.76,0.672,-43.64,-25.85,23.9
502070.531000,-0.571,-0.617,0.661,38.45,-43.4,-10.25
502070.578000,-0.439,-0.583,0.694,32.26,-37.84,-35.95
502070.625000,-0.317,-0.445,0.776,51.18,-27.16,-50.75
502070.671000,-0.21,-0.362,0.826,28.35,-24.17,-51.03
502070.734000,-0.15,-0.27,0.724,24.51,8.51,-21.09
502070.781000,-0.198,-0.379,0.777,-15.81,37.42,-11.23
502070.828000,-0.265,-0.526,0.805,-14.34,57.95,-5.37
502070.875000,-0.262,-0.548,0.933,-3.69,28.6,-26.15
502070.921000,-0.196,-0.326,0.983,-8.88,23.19,1.31
502070.968000,-0.247,-0.376,0.911,-30.24,11.08,23.1
502071.015000,-0.257,-0.65,0.858,-14.47,14.04,30.15
502071.078000,-0.419,-0.489,0.781,4.76,27.59,-12.15
502071.125000,-0.34,-0.412,0.839,13.92,4.09,6.41
502071.171000,-0.302,-0.396,0.752,10.9,18.86,5.13
502071.218000,-0.368,-0.468,0.794,16.24,30.09,10.83
502071.265000,-0.417,-0.417,0.868,43.64,14.95,12.02
502071.312000,-0.423,-0.4,0.857,30.73,9.8,10.1
502071.359000,-0.42,-0.431,0.87,9.13,16.42,0.27
502071.406000,-0.454,-0.375,0.867,17.24,21.55,-4.46
502071.453000,-0.437,-0.373,0.848,8.45,22.64,-16.39
502071.500000,-0.467,-0.387,0.852,10.68,20.23,-5.89
502071.546000,-0.443,-0.418,0.825,11.35,32.38,-19.96
502071.593000,-0.48,-0.363,0.822,-15.26,31.68,-29.21
502071.640000,-0.538,-0.407,0.83,-3.54,29.15,-15.93
502071.687000,-0.521,-0.386,0.783,-4.09,18.65,-17.82
502071.734000,-0.477,-0.405,0.774,5.13,14.31,-14.37
502071.781000,-0.495,-0.384,0.812,5.22,16.27,-8.03
502071.828000,-0.535,-0.496,0.806,16.72,20.69,-4.64
502071.875000,-0.476,-0.319,0.791,6.16,8.36,-16.27
502071.921000,-0.489,-0.289,0.811,-0.79,5.34,-1.8
