trial_index,gesture,t_start,t_end,accepted
1,Push,506958.546000,506960.625000,1
2,Push,506968.046000,506970.109000,1
3,Push,506974.265000,506976.265000,1
4,Push,506986.156000,506988.250000,1
5,Push,506991.671000,506993.765000,1
6,Push,506995.406000,506997.421000,0
6,Push,507000.234000,507002.296000,1
7,Push,507005.281000,507007.359000,1
8,Push,507010.234000,507012.343000,1
9,Push,507014.984000,507017.046000,1
10,Push,507020.031000,507022.062000,1
11,Pull,507026.984000,507029.046000,0
11,Pull,507034.250000,507036.343000,1
12,Pull,507039.562000,507041.625000,1
13,Pull,507044.593000,507046.656000,1
14,Pull,507049.828000,507051.906000,1
15,Pull,507055.093000,507057.093000,1
16,Pull,507062.703000,507064.734000,1
17,Pull,507068.171000,507070.250000,1
18,Pull,507073.953000,507076.000000,1
19,Pull,507079.796000,507081.859000,1
20,Pull,507084.953000,507087.000000,1
21,Clockwise,507092.593000,507094.640000,1
22,Clockwise,507114.687000,507116.765000,0
22,Clockwise,507123.703000,507125.703000,1
23,Clockwise,507128.281000,507130.375000,1
24,Clockwise,507132.984000,507135.046000,1
25,Clockwise,507138.000000,507140.093000,1
26,Clockwise,507142.859000,507144.921000,1
27,Clockwise,507148.125000,507150.187000,1
28,Clockwise,507153.765000,507155.859000,1
29,Clockwise,507158.562000,507160.625000,1
30,Clockwise,507164.078000,507166.156000,1
31,Anti-clockwise,507201.390000,507203.406000,1
32,Anti-clockwise,507205.984000,507208.046000,1
33,Anti-clockwise,507210.484000,507212.531000,1
34,Anti-clockwise,507214.921000,507216.968000,1
35,Anti-clockwise,507219.203000,507221.281000,1
36,Anti-clockwise,507223.656000,507225.687000,1
37,Anti-clockwise,507228.906000,507230.968000,1
38,Anti-clockwise,507233.734000,507235.796000,1
39,Anti-clockwise,507238.296000,507240.296000,1
40,Anti-clockwise,507242.703000,507244.812000,1
41,Right,507255.296000,507257.390000,1
42,Right,507276.250000,507278.250000,1
43,Right,507281.906000,507283.937000,1
44,Right,507286.968000,507289.000000,1
45,Right,507292.906000,507294.984000,1
46,Right,507298.890000,507300.937000,1
47,Right,507305.500000,507307.593000,1
48,Right,507310.953000,507313.015000,1
49,Right,507316.703000,507318.703000,1
50,Right,507323.390000,507325.468000,1
51,Left,507331.609000,507333.703000,1
52,Left,507339.906000,507341.984000,1
53,Left,507359.515000,507361.609000,1
54,Left,507365.156000,507367.250000,1
55,Left,507370.781000,507372.875000,1
56,Left,507380.453000,507382.500000,1
57,Left,507387.500000,507389.578000,1
58,Left,507398.796000,507400.843000,1
59,Left,507405.421000,507407.421000,1
60,Left,507412.328000,507414.421000,1
61,Bye-Bye,507422.359000,507424.421000,1
62,Bye-Bye,507427.562000,507429.671000,1
63,Bye-Bye,507431.281000,507433.312000,1
64,Bye-Bye,507434.984000,507437.078000,1
65,Bye-Bye,507438.796000,507440.843000,1
66,Bye-Bye,507442.609000,507444.718000,1
67,Bye-Bye,507446.750000,507448.843000,1
68,Bye-Bye,507450.953000,507453.000000,1
69,Bye-Bye,507455.234000,507457.312000,1
70,Bye-Bye,507459.609000,507461.640000,1
71,One-Arm Boxing,507477.593000,507479.593000,1
72,One-Arm Boxing,507484.109000,507486.171000,1
73,One-Arm Boxing,507488.921000,507491.015000,1
74,One-Arm Boxing,507494.015000,507496.062000,1
75,One-Arm Boxing,507498.906000,507500.937000,1
76,One-Arm Boxing,507503.843000,507505.921000,1
77,One-Arm Boxing,507509.375000,507511.437000,1
78,One-Arm Boxing,507515.250000,507517.328000,1
