t_monotonic,ax,ay,az,gx,gy,gz
506944.062000,-0.861,-0.057,-0.453,-18.83,-24.23,-60.09
506944.109000,-0.944,0.036,-0.495,-20.81,-11.38,-41.08
506944.156000,-0.947,0.016,-0.482,-34.73,-8.27,-5.83
506944.203000,-0.868,-0.102,-0.473,-36.62,-4.46,24.14
506944.250000,-0.823,-0.17,-0.455,-36.93,1.16,28.47
506944.296000,-0.881,-0.168,-0.42,-18.28,12.3,28.08
506944.343000,-0.964,-0.148,-0.412,-0.85,15.56,27.16
506944.390000,-1.005,-0.148,-0.395,5.71,12.76,21.42
506944.437000,-0.972,-0.143,-0.356,11.9,7.14,13.12
506944.484000,-0.95,-0.12,-0.373,11.75,-3.57,2.56
506944.531000,-0.918,-0.129,-0.39,11.23,-6.62,-1.62
506944.578000,-0.93,-0.086,-0.411,11.96,-1.98,-6.62
506944.625000,-0.808,-0.131,-0.361,1.8,-6.32,-7.17
506944.671000,-0.818,-0.084,-0.404,-0.76,-1.13,-5.19
506944.718000,-0.91,-0.11,-0.406,-10.01,7.69,3.45
506944.765000,-0.952,-0.14,-0.408,-5.04,6.68,2.26
506944.812000,-0.95,-0.166,-0.429,-0.85,-2.01,-7.87
506944.859000,-0.915,-0.166,-0.447,2.32,-6.93,-24.78
506944.906000,-0.865,-0.112,-0.469,0.52,-10.07,-38.97
506944.953000,-0.82,-0.076,-0.48,-7.57,-7.9,-40.44
506945.000000,-0.816,-0.045,-0.466,-10.5,-0.43,-32.2
506945.046000,-0.859,-0.023,-0.49,-9.95,0.98,-13.61
506945.093000,-0.813,-0.092,-0.514,-21.94,-6.13,8.18
506945.140000,-0.801,-0.101,-0.531,-23.07,-7.17,12.39
506945.187000,-0.796,-0.125,-0.512,-22.49,-5.65,21.73
506945.234000,-0.816,-0.187,-0.476,8.85,-7.45,36.47
506945.281000,-0.86,-0.183,-0.489,30.27,-7.75,34.58
506945.328000,-1.024,-0.095,-0.568,14.56,-0.58,28.05
506945.375000,-0.819,-0.252,-0.474,-36.19,-6.44,17.94
506945.421000,-0.816,-0.207,-0.394,-16.75,12.88,-13.06
506945.468000,-1.008,-0.097,-0.356,-5.16,14.4,-17.15
506945.515000,-1.0,-0.073,-0.336,10.9,-1.28,-21.82
506945.562000,-0.898,-0.066,-0.357,-0.73,-19.44,-28.14
506945.609000,-0.85,-0.066,-0.391,-9.0,-17.0,-30.52
506945.656000,-0.913,-0.017,-0.387,-10.22,-1.37,-25.61
506945.703000,-0.969,-0.007,-0.37,-4.09,1.04,-6.71
506945.750000,-0.969,-0.061,-0.366,6.1,-0.79,2.93
506945.796000,-0.989,-0.058,-0.366,15.99,-3.02,-0.7
506945.843000,-0.911,-0.047,-0.355,13.25,-13.06,-4.55
506945.906000,-0.852,-0.008,-0.382,-0.89,-11.66,1.8
506945.953000,-0.86,-0.031,-0.383,-10.56,-4.97,18.71
506946.000000,-0.899,-0.061,-0.387,-11.75,0.27,32.59
506946.046000,-0.941,-0.083,-0.403,-15.66,1.37,38.58
506946.093000,-0.99,-0.119,-0.414,-14.53,2.78,37.69
506946.140000,-0.97,-0.146,-0.405,-14.04,-0.55,26.03
