t_monotonic,ax,ay,az,gx,gy,gz
1638183.463375,0.24,-0.811,-0.495,-1.83,0.27,-1.59
1638183.507826,0.243,-0.808,-0.516,1.04,-2.04,-0.55
1638183.554558,0.244,-0.82,-0.506,1.37,0.49,1.16
1638183.604233,0.24,-0.825,-0.505,0.52,-1.56,-0.43
1638183.653853,0.244,-0.812,-0.516,-0.27,-2.26,-0.89
1638183.703625,0.243,-0.815,-0.508,2.66,-0.52,1.65
1638183.753328,0.229,-0.813,-0.498,-0.89,4.61,3.91
1638183.797841,0.24,-0.822,-0.507,-2.59,2.69,5.04
1638183.844682,0.241,-0.835,-0.516,-0.4,2.9,7.11
1638183.894467,0.226,-0.832,-0.489,-1.22,4.12,2.9
1638183.944363,0.236,-0.84,-0.5,-4.3,0.67,-1.83
1638183.993609,0.235,-0.847,-0.474,2.32,-3.23,-9.61
1638184.033629,0.241,-0.79,-0.526,2.32,-6.13,-9.83
1638184.078161,0.244,-0.797,-0.504,-0.95,-4.46,-0.73
1638184.132306,0.238,-0.807,-0.494,0.18,-5.1,2.38
1638184.174401,0.232,-0.839,-0.512,-1.77,-1.25,1.5
1638184.217266,0.226,-0.834,-0.509,-0.79,-0.49,-0.61
1638184.259246,0.23,-0.81,-0.515,-1.04,1.56,-2.23
1638184.304607,0.225,-0.818,-0.504,-1.07,2.75,-2.14
1638184.354277,0.231,-0.804,-0.513,0.73,2.59,-1.31
1638184.403966,0.242,-0.818,-0.516,0.7,2.78,-1.86
1638184.453732,0.245,-0.827,-0.502,0.49,4.21,-5.1
1638184.503512,0.255,-0.817,-0.516,1.07,1.37,-6.16
1638184.547941,0.264,-0.792,-0.507,-4.85,-0.4,-5.52
1638184.594933,0.257,-0.81,-0.514,1.5,-2.17,3.02
1638184.644624,0.25,-0.831,-0.502,-0.4,0.43,0.82
1638184.693944,0.258,-0.797,-0.523,-1.16,-1.16,-0.09
1638184.743848,0.254,-0.789,-0.497,-6.29,1.68,16.05
1638184.793905,0.218,-0.801,-0.5,-5.74,5.58,18.77
1638184.844168,0.256,-0.871,-0.491,-2.72,9.83,12.82
1638184.894209,0.225,-0.86,-0.506,5.04,3.11,-0.79
1638184.943897,0.235,-0.837,-0.506,0.82,-1.04,-6.29
1638184.993814,0.239,-0.822,-0.491,1.92,-1.46,-12.45
1638185.043782,0.248,-0.784,-0.518,1.28,-2.11,-7.51
1638185.093502,0.25,-0.811,-0.503,-1.1,0.79,1.25
1638185.137970,0.241,-0.834,-0.506,0.15,3.08,-2.2
1638185.184722,0.203,-0.846,-0.521,-2.11,4.24,-8.03
1638185.237665,0.265,-0.828,-0.522,-7.84,17.33,-14.98
1638185.278093,0.313,-0.762,-0.519,-13.0,11.69,-9.13
1638185.328010,0.332,-0.732,-0.542,-1.1,3.05,-0.61
1638185.371003,0.24,-0.797,-0.452,-11.14,2.66,21.79
1638185.414852,0.292,-0.863,-0.494,-0.34,-12.24,-7.11
1638185.457922,0.174,-0.735,-0.491,6.13,-28.72,-13.7
1638185.507874,0.329,-0.834,-0.624,-17.61,-35.55,3.6
1638185.553500,0.271,-0.728,-0.582,-18.28,12.33,1.92
1638185.593914,0.195,-0.805,-0.534,-48.59,46.14,11.69
1638185.633941,0.223,-0.832,-0.434,29.6,-18.4,-10.56
1638185.684551,0.214,-0.718,-0.686,64.76,-54.17,4.82
1638185.724741,0.253,-0.831,-0.546,13.79,-8.58,1.74
1638185.774225,0.266,-0.81,-0.478,-9.43,16.3,5.22
1638185.824469,0.226,-0.819,-0.481,5.07,-1.19,2.04
1638185.873922,0.234,-0.823,-0.527,5.22,-1.8,-3.6
1638185.915897,0.231,-0.824,-0.531,0.76,1.31,-3.78
1638185.968047,0.238,-0.811,-0.511,-1.43,1.34,-4.09
1638186.014988,0.243,-0.814,-0.501,-1.43,-2.04,-3.6
1638186.064792,0.236,-0.813,-0.504,2.56,-7.54,-2.99
1638186.114679,0.224,-0.828,-0.506,19.35,-32.17,-3.72
1638186.154818,0.223,-0.823,-0.537,28.41,-39.95,-1.07
1638186.194932,0.225,-0.83,-0.537,7.54,-23.16,-7.39
1638186.244554,0.224,-0.81,-0.486,-10.19,17.27,-0.82
1638186.284684,0.121,-0.701,-0.432,-2.01,13.37,15.99
1638186.337879,0.226,-0.779,-0.547,13.06,-11.81,-1.1
1638186.384825,0.241,-0.846,-0.511,-1.01,3.54,0.15
1638186.424854,0.198,-0.835,-0.471,-15.84,15.44,0.46
1638186.474420,0.193,-0.787,-0.512,0.76,-3.69,-7.81
1638186.524322,0.228,-0.832,-0.508,3.3,-8.82,2.44
1638186.574648,0.201,-0.812,-0.475,-16.72,16.39,-4.39
1638186.624496,0.222,-0.845,-0.51,9.0,-3.75,0.31
1638186.674091,0.226,-0.845,-0.502,3.05,-12.76,2.69
1638186.724067,0.227,-0.826,-0.503,-2.47,0.55,1.83
1638186.764130,0.205,-0.797,-0.496,-4.18,2.78,3.08
1638186.804632,0.22,-0.814,-0.494,-3.39,0.7,6.04
1638186.854694,0.217,-0.814,-0.484,-0.61,9.7,14.01
1638186.904773,0.196,-0.85,-0.487,4.03,5.28,9.22
1638186.954168,0.188,-0.848,-0.51,-2.17,-6.07,0.18
1638187.003851,0.188,-0.84,-0.508,-3.57,-3.05,1.98
1638187.053491,0.167,-0.814,-0.495,-2.14,7.87,7.93
1638187.103461,0.17,-0.822,-0.51,-15.26,8.12,5.01
1638187.143774,0.187,-0.754,-0.579,-12.76,26.15,23.56
1638187.183943,0.206,-0.82,-0.491,-12.94,56.79,29.69
1638187.223958,0.144,-0.845,-0.434,7.78,39.98,19.38
1638187.264166,0.17,-0.918,-0.507,14.16,16.54,8.7
1638187.314336,0.201,-0.903,-0.504,12.39,-1.53,-19.07
1638187.364577,0.216,-0.882,-0.486,0.24,-2.75,-17.18
1638187.417492,0.214,-0.801,-0.473,1.62,-6.59,-18.19
1638187.467869,0.27,-0.767,-0.49,-7.2,4.15,-9.61
1638187.517710,0.249,-0.76,-0.484,-5.01,14.47,-1.16
1638187.567992,0.287,-0.834,-0.499,9.37,1.68,10.68
1638187.618020,0.187,-0.851,-0.483,-1.34,10.28,13.06
1638187.668195,0.233,-0.858,-0.467,5.58,-7.42,1.56
1638187.715030,0.209,-0.843,-0.506,3.45,-4.36,-2.69
1638187.764495,0.229,-0.755,-0.461,-13.86,-5.49,-8.58
1638187.804541,0.229,-0.8,-0.51,-21.76,-5.68,-10.65
1638187.857618,0.266,-0.776,-0.522,-16.57,23.26,0.09
1638187.903256,0.228,-0.88,-0.453,14.22,-9.0,-6.9
1638187.943547,0.205,-0.78,-0.559,22.19,-21.73,-5.86
1638187.984029,0.245,-0.894,-0.527,18.65,-31.59,5.07
1638188.033617,0.245,-0.81,-0.481,-3.11,2.78,-4.39
1638188.078145,0.241,-0.808,-0.457,1.86,2.53,4.76
1638188.124908,0.222,-0.839,-0.478,2.23,-1.95,1.68
1638188.174514,0.226,-0.851,-0.482,1.74,1.59,-1.13
1638188.224181,0.224,-0.857,-0.492,0.7,2.01,-2.93
1638188.284405,0.243,-0.849,-0.49,0.37,2.35,-3.69
1638188.333649,0.229,-0.817,-0.471,-1.07,0.55,-0.79
1638188.373837,0.236,-0.827,-0.472,-1.68,1.25,0.18
1638188.414693,0.239,-0.829,-0.477,-1.13,1.34,0.4
1638188.464683,0.234,-0.837,-0.493,0.21,0.52,0.82
1638188.514185,0.239,-0.846,-0.477,0.79,1.31,0.7
1638188.563544,0.227,-0.846,-0.473,1.92,0.09,-1.4
1638188.608444,0.227,-0.824,-0.49,2.23,0.43,-2.81
1638188.658007,0.234,-0.835,-0.478,0.12,-1.37,0.98
1638188.704741,0.228,-0.819,-0.496,0.0,-3.45,-1.77
1638188.754443,0.243,-0.843,-0.486,0.95,-2.08,-2.75
1638188.803971,0.232,-0.846,-0.472,1.46,-1.62,-4.06
1638188.853892,0.239,-0.813,-0.473,-0.55,-5.74,-2.96
1638188.903589,0.24,-0.853,-0.487,4.85,-10.25,1.04
1638188.948214,0.241,-0.854,-0.481,0.03,-0.58,0.85
1638188.994926,0.24,-0.845,-0.469,-0.55,-0.67,-0.18
1638189.044591,0.238,-0.837,-0.483,-1.98,-7.45,-4.39
1638189.094481,0.231,-0.843,-0.469,-4.3,-18.46,-6.04
1638189.134570,0.249,-0.831,-0.501,-13.61,-24.05,-3.08
1638189.184619,0.263,-0.791,-0.522,-3.45,-0.67,0.79
1638189.234557,0.247,-0.951,-0.49,3.51,-4.06,5.98
1638189.284749,0.195,-0.83,-0.502,25.06,-23.16,-1.37
1638189.334982,0.198,-0.835,-0.524,-0.52,2.81,-8.58
1638189.388054,0.23,-0.809,-0.507,11.51,-6.87,-4.27
1638189.432949,0.231,-0.815,-0.554,1.01,1.4,1.98
1638189.478007,0.228,-0.833,-0.557,-22.28,31.89,0.37
1638189.523660,0.258,-0.889,-0.551,21.12,-18.04,0.85
1638189.563821,0.199,-0.84,-0.518,11.2,-24.78,-6.84
1638189.608146,0.291,-0.81,-0.489,-4.61,13.4,-3.91
1638189.654070,0.161,-0.865,-0.3,-3.08,2.44,9.49
1638189.694188,0.204,-0.812,-0.506,24.26,-23.93,-0.98
1638189.734539,0.23,-0.855,-0.488,17.52,-19.53,18.19
1638189.784231,0.224,-0.829,-0.474,5.49,23.38,10.53
1638189.824483,0.179,-0.84,-0.466,-13.58,36.93,18.34
1638189.867979,0.23,-0.904,-0.446,-23.26,32.9,16.94
1638189.917698,0.175,-0.866,-0.486,11.38,-7.66,-1.62
1638189.957893,0.175,-0.865,-0.491,6.84,-7.23,-1.65
1638190.006427,0.21,-0.866,-0.466,-3.97,6.65,-1.46
1638190.056414,0.183,-0.879,-0.431,-3.11,11.11,1.1
1638190.104161,0.202,-0.836,-0.492,-10.13,8.21,-3.36
1638190.144421,0.219,-0.845,-0.473,-21.45,28.9,-4.85
1638190.184546,0.229,-0.825,-0.449,-18.22,26.12,-5.52
1638190.234673,0.236,-0.827,-0.492,-3.3,1.19,-3.75
1638190.284706,0.219,-0.845,-0.511,-14.47,16.24,-8.67
1638190.325139,0.231,-0.814,-0.455,-15.26,10.83,-10.62
1638190.374514,0.262,-0.735,-0.504,-2.84,0.79,-2.44
1638190.424356,0.257,-0.803,-0.48,-6.29,4.36,1.56
1638190.474297,0.313,-0.807,-0.507,3.91,5.62,9.46
1638190.524582,0.24,-0.738,-0.523,-2.81,21.03,15.5
1638190.564625,0.239,-0.838,-0.46,3.11,-5.01,33.48
1638190.614972,0.226,-0.856,-0.475,25.45,-13.89,-5.68
1638190.667931,0.207,-0.892,-0.553,1.95,-21.39,1.31
1638190.708006,0.231,-0.832,-0.49,-22.1,-11.51,-19.41
1638190.748308,0.297,-0.792,-0.54,-17.64,-4.49,-12.05
1638190.794611,0.256,-0.784,-0.496,-18.89,25.18,-2.81
1638190.844031,0.253,-0.904,-0.424,11.47,-7.17,3.39
1638190.894489,0.211,-0.747,-0.625,36.04,-61.01,2.5
1638190.934657,0.241,-0.838,-0.565,11.51,-32.5,1.92
1638190.984727,0.235,-0.788,-0.465,-7.02,0.4,1.59
1638191.034442,0.208,-0.809,-0.482,1.22,-3.69,0.24
1638191.084219,0.2,-0.812,-0.504,7.26,-0.76,-0.85
1638191.134183,0.19,-0.855,-0.491,10.71,8.39,-1.56
1638191.174384,0.193,-0.854,-0.499,7.57,11.32,-2.84
1638191.223791,0.206,-0.837,-0.509,-3.51,2.17,-2.29
1638191.267945,0.227,-0.83,-0.541,-6.65,1.68,-4.76
1638191.315055,0.219,-0.815,-0.514,-1.95,3.17,-1.95
1638191.364708,0.228,-0.813,-0.496,2.32,2.17,-1.95
1638191.413925,0.225,-0.835,-0.476,-2.26,2.23,-2.32
1638191.464130,0.233,-0.825,-0.499,0.58,2.29,-2.99
1638191.513553,0.241,-0.811,-0.515,1.53,6.5,-1.04
1638191.558340,0.245,-0.82,-0.493,-3.23,0.58,1.01
1638191.605067,0.247,-0.828,-0.49,-1.43,1.83,-2.08
1638191.654619,0.253,-0.804,-0.46,2.99,4.03,6.26
1638191.704261,0.233,-0.86,-0.478,2.69,-0.21,6.2
1638191.753982,0.227,-0.825,-0.493,0.7,2.2,1.71
1638191.803648,0.239,-0.805,-0.495,-0.95,6.38,7.02
1638191.848016,0.233,-0.854,-0.492,-8.7,6.44,1.16
1638191.898184,0.224,-0.829,-0.487,-12.94,0.12,-6.16
1638191.947550,0.249,-0.82,-0.519,-0.12,5.16,0.4
1638191.994486,0.236,-0.845,-0.51,4.73,12.15,2.23
1638192.044639,0.22,-0.827,-0.492,-4.12,10.47,-4.64
