trial_index,gesture,t_start,t_end,accepted
1,Pull,318716.109000,318718.187000,1
2,Pull,318777.343000,318779.406000,1
3,Pull,318836.375000,318838.453000,1
4,Push,318844.265000,318846.328000,1
5,Push,318872.656000,318874.718000,1
6,Push,318880.671000,318882.750000,1
7,Right,318888.656000,318890.718000,1
8,Right,318893.968000,318896.015000,1
9,Right,318899.718000,318901.812000,1
10,Left,318905.703000,318907.750000,1
11,Left,318910.906000,318913.000000,1
12,Left,318916.031000,318918.109000,1
13,Clapping,318922.906000,318924.984000,1
14,Clapping,318975.187000,318977.187000,1
15,Clapping,318986.843000,318988.906000,1
