t_monotonic,ax,ay,az,gx,gy,gz
318668.203000,0.75,0.088,-0.712,-29.76,59.05,11.08
318668.218000,0.749,0.069,-0.695,-17.03,53.01,16.97
318668.218000,0.789,0.067,-0.689,-6.2,48.4,21.39
318668.234000,0.794,0.073,-0.705,2.23,45.5,23.9
318668.234000,0.804,0.092,-0.717,8.73,44.92,22.43
318668.250000,0.824,0.108,-0.755,10.71,46.36,20.08
318668.265000,0.812,0.103,-0.748,9.16,54.05,18.92
318668.265000,0.793,0.095,-0.698,2.72,57.71,16.85
318668.281000,0.79,0.069,-0.692,-6.62,53.56,15.63
318668.296000,0.793,0.041,-0.671,-13.0,50.75,14.19
318668.296000,0.822,0.024,-0.648,-14.4,49.84,11.44
318668.312000,0.802,0.02,-0.615,-11.66,51.76,8.94
318668.328000,0.793,0.044,-0.599,-10.01,48.37,5.98
318668.328000,0.79,0.058,-0.595,-8.85,43.28,5.89
318668.343000,0.795,0.052,-0.585,-6.74,39.83,6.62
318668.343000,0.806,0.04,-0.579,-4.06,39.31,6.62
318668.359000,0.777,0.039,-0.558,-1.19,40.44,5.8
318668.375000,0.769,0.064,-0.558,-1.25,37.45,4.88
318668.375000,0.764,0.079,-0.572,-2.38,36.99,7.87
318668.390000,0.742,0.074,-0.544,-1.13,38.94,11.14
318668.406000,0.746,0.065,-0.511,-1.04,35.28,12.97
318668.406000,0.745,0.048,-0.511,-0.18,30.15,14.74
318668.421000,0.73,0.037,-0.493,2.99,27.31,15.41
318668.421000,0.724,0.033,-0.467,5.74,22.4,15.9
318668.437000,0.733,0.013,-0.446,8.51,16.91,17.24
318668.453000,0.744,-0.013,-0.438,11.23,12.73,17.85
318668.468000,0.748,-0.009,-0.441,12.12,9.92,15.75
318668.468000,0.752,0.017,-0.44,9.92,8.0,12.6
318668.484000,0.766,0.026,-0.44,5.83,6.38,9.55
318668.484000,0.773,0.032,-0.451,-0.12,4.36,5.49
318668.500000,0.778,0.045,-0.454,-7.11,3.02,1.07
318668.515000,0.778,0.057,-0.446,-12.79,2.17,-1.95
318668.531000,0.783,0.058,-0.429,-16.91,0.37,-3.51
318668.531000,0.786,0.055,-0.425,-18.89,-2.62,-3.85
318668.546000,0.793,0.053,-0.443,-16.75,-3.02,-0.64
318668.546000,0.777,0.052,-0.453,-16.72,-7.63,1.4
318668.562000,0.761,0.046,-0.477,-18.31,-14.47,3.63
318668.578000,0.785,0.03,-0.528,-19.32,-16.3,4.58
318668.578000,0.799,0.02,-0.555,-20.14,-16.05,4.15
318668.593000,0.801,0.025,-0.571,-18.83,-14.56,4.52
318668.609000,0.785,0.02,-0.568,-17.03,-13.7,5.55
318668.609000,0.77,0.017,-0.581,-14.74,-14.01,7.08
318668.625000,0.751,0.016,-0.607,-10.16,-14.77,10.07
318668.625000,0.735,0.011,-0.611,-3.14,-14.8,14.95
318668.640000,0.749,-0.009,-0.597,4.03,-13.55,22.0
318668.656000,0.77,-0.046,-0.593,9.55,-11.69,28.41
318668.671000,0.793,-0.082,-0.588,12.54,-9.61,31.07
318668.671000,0.823,-0.11,-0.583,13.0,-8.61,28.2
318668.687000,0.839,-0.105,-0.603,10.1,-8.67,20.2
318668.687000,0.833,-0.057,-0.629,3.33,-6.99,9.28
318668.703000,0.828,-0.012,-0.631,-6.26,-3.91,0.15
318668.703000,0.814,-0.014,-0.625,-16.02,-1.46,-5.31
318668.718000,0.806,-0.051,-0.606,-23.01,0.58,-8.0
318668.734000,0.809,-0.088,-0.588,-24.41,1.68,-9.46
318668.734000,0.814,-0.085,-0.584,-21.73,1.92,-11.23
318668.750000,0.82,-0.049,-0.59,-17.15,2.41,-11.96
318668.765000,0.827,-0.021,-0.601,-13.15,2.72,-10.41
318668.765000,0.835,-0.001,-0.607,-9.77,3.23,-8.15
318668.781000,0.84,0.014,-0.604,-7.6,3.6,-6.44
318668.796000,0.839,0.021,-0.601,-6.35,3.75,-4.67
318668.796000,0.839,0.02,-0.595,-6.62,4.46,-2.81
318668.812000,0.837,0.014,-0.586,-6.93,5.55,-1.4
318668.812000,0.833,0.02,-0.591,-7.48,6.29,-0.85
318668.828000,0.833,0.041,-0.583,-9.8,8.61,0.09
318668.843000,0.844,0.032,-0.562,-12.15,12.42,2.41
318668.859000,0.845,0.012,-0.553,-13.28,15.84,2.72
318668.859000,0.838,0.03,-0.552,-15.08,17.52,-0.12
318668.875000,0.811,0.05,-0.528,-15.9,19.29,-2.14
318668.875000,0.806,0.059,-0.501,-16.85,16.91,-2.11
318668.890000,0.824,0.057,-0.508,-17.37,14.13,-0.34
318668.890000,0.824,0.05,-0.501,-15.66,16.91,2.29
318668.906000,0.811,0.052,-0.474,-12.73,18.98,3.69
318668.921000,0.802,0.059,-0.457,-10.07,17.21,4.58
