trial_index,gesture,t_start,t_end,accepted
1,Push,575212.109000,575214.203000,1
2,Push,575218.421000,575220.468000,1
3,Push,575223.515000,575225.531000,1
4,Push,575228.218000,575230.296000,1
5,Push,575232.875000,575234.968000,1
6,Push,575241.109000,575243.203000,1
7,Push,575246.265000,575248.359000,1
8,Push,575250.406000,575252.484000,1
9,Push,575254.921000,575256.921000,1
10,Push,575258.843000,575260.890000,1
11,Pull,575266.250000,575268.250000,1
12,Pull,575270.359000,575272.359000,1
13,Pull,575274.546000,575276.546000,1
14,Pull,575278.640000,575280.640000,1
15,Pull,575282.906000,575284.984000,1
16,Pull,575287.171000,575289.218000,1
17,Pull,575291.859000,575293.937000,1
18,Pull,575296.015000,575298.015000,1
19,Pull,575300.312000,575302.406000,1
20,Pull,575304.593000,575306.687000,1
21,Clockwise,575326.671000,575328.750000,1
22,Clockwise,575331.671000,575333.671000,1
23,Clockwise,575335.953000,575338.046000,0
23,Clockwise,575345.406000,575347.500000,1
24,Clockwise,575350.203000,575352.265000,1
25,Clockwise,575353.781000,575355.781000,1
26,Clockwise,575357.406000,575359.484000,1
27,Clockwise,575360.937000,575363.046000,1
28,Clockwise,575364.953000,575366.953000,1
29,Clockwise,575368.421000,575370.421000,1
30,Clockwise,575371.968000,575374.046000,1
31,Anti-clockwise,575378.296000,575380.359000,1
32,Anti-clockwise,575381.515000,575383.593000,1
33,Anti-clockwise,575385.093000,575387.093000,1
34,Anti-clockwise,575388.281000,575390.343000,1
35,Anti-clockwise,575391.875000,575393.953000,1
36,Anti-clockwise,575395.078000,575397.171000,1
37,Anti-clockwise,575398.015000,575400.093000,1
38,Anti-clockwise,575401.312000,575403.406000,1
39,Anti-clockwise,575404.250000,575406.343000,1
40,Anti-clockwise,575407.578000,575409.656000,1
41,Right,575435.984000,575438.062000,1
42,Right,575440.593000,575442.609000,1
43,Right,575445.078000,575447.156000,1
44,Right,575450.468000,575452.546000,1
45,Right,575455.234000,575457.296000,1
46,Right,575459.968000,575462.015000,1
47,Right,575465.125000,575467.203000,1
48,Right,575470.125000,575472.125000,1
49,Right,575474.984000,575477.078000,1
50,Right,575479.359000,575481.453000,1
51,Left,575485.906000,575488.000000,1
52,Left,575490.734000,575492.812000,1
53,Left,575495.312000,575497.359000,1
54,Left,575499.687000,575501.781000,1
55,Left,575504.250000,575506.250000,1
56,Left,575508.609000,575510.703000,1
57,Left,575512.890000,575514.953000,1
58,Left,575516.812000,575518.812000,0
58,Left,575521.640000,575523.718000,1
59,Left,575529.453000,575531.484000,1
60,Left,575533.937000,575536.031000,1
61,Bye-Bye,575563.921000,575565.921000,1
62,Bye-Bye,575567.453000,575569.546000,1
63,Bye-Bye,575570.890000,575572.921000,1
64,Bye-Bye,575573.906000,575575.953000,1
65,Bye-Bye,575578.468000,575580.578000,1
66,Bye-Bye,575582.062000,575584.156000,1
67,Bye-Bye,575585.562000,575587.640000,1
68,Bye-Bye,575588.843000,575590.843000,1
69,Bye-Bye,575592.187000,575594.187000,1
70,Bye-Bye,575595.421000,575597.500000,1
71,One-Arm Boxing,575622.359000,575624.453000,0
71,One-Arm Boxing,575628.296000,575630.296000,1
72,One-Arm Boxing,575632.250000,575634.343000,1
73,One-Arm Boxing,575635.921000,575638.015000,1
74,One-Arm Boxing,575639.062000,575641.140000,1
75,One-Arm Boxing,575642.375000,575644.453000,1
76,One-Arm Boxing,575645.656000,575647.734000,1
77,One-Arm Boxing,575648.640000,575650.734000,1
78,One-Arm Boxing,575651.703000,575653.765000,1
79,One-Arm Boxing,575654.875000,575656.968000,1
80,One-Arm Boxing,575658.078000,575660.156000,1
81,Clapping,575666.921000,575669.015000,1
82,Clapping,575670.453000,575672.546000,1
83,Clapping,575673.968000,575676.062000,1
84,Clapping,575677.296000,575679.375000,1
85,Clapping,575680.593000,575682.687000,1
86,Clapping,575683.781000,575685.875000,1
87,Clapping,575687.250000,575689.343000,1
88,Clapping,575690.640000,575692.718000,1
89,Clapping,575694.062000,575696.140000,1
90,Clapping,575697.390000,575699.406000,1
91,Two-Arm Boxing,575712.921000,575715.015000,1
92,Two-Arm Boxing,575717.750000,575719.796000,1
93,Two-Arm Boxing,575722.265000,575724.328000,1
94,Two-Arm Boxing,575726.687000,575728.765000,1
95,Two-Arm Boxing,575731.250000,575733.328000,1
96,Two-Arm Boxing,575735.796000,575737.828000,1
97,Two-Arm Boxing,575740.000000,575742.062000,1
98,Two-Arm Boxing,575745.484000,575747.531000,1
99,Two-Arm Boxing,575749.625000,575751.687000,1
100,Two-Arm Boxing,575754.125000,575756.203000,1
101,T-Arm,575776.265000,575778.343000,1
102,T-Arm,575780.812000,575782.906000,1
103,T-Arm,575785.125000,575787.187000,1
104,T-Arm,575789.625000,575791.703000,1
105,T-Arm,575793.921000,575795.921000,1
106,T-Arm,575798.109000,575800.203000,1
107,T-Arm,575802.359000,575804.437000,1
108,T-Arm,575806.562000,575808.625000,1
109,T-Arm,575810.828000,575812.890000,1
110,T-Arm,575815.156000,575817.234000,1
111,Raise Arms,575840.656000,575842.718000,1
112,Raise Arms,575844.875000,575846.921000,1
113,Raise Arms,575849.375000,575851.468000,1
114,Raise Arms,575853.562000,575855.656000,1
115,Raise Arms,575857.687000,575859.765000,1
116,Raise Arms,575862.281000,575864.281000,1
117,Raise Arms,575866.671000,575868.765000,1
118,Raise Arms,575871.203000,575873.265000,1
119,Raise Arms,575875.515000,575877.625000,1
120,Raise Arms,575879.968000,575882.062000,1
121,Soli,575909.062000,575911.109000,1
122,Soli,575912.468000,575914.562000,1
123,Soli,575915.890000,575917.968000,1
124,Soli,575919.265000,575921.343000,1
125,Soli,575922.750000,575924.843000,1
126,Soli,575926.109000,575928.109000,1
127,Soli,575929.546000,575931.593000,1
128,Soli,575932.812000,575934.906000,1
129,Soli,575936.171000,575938.265000,1
130,Soli,575939.609000,575941.671000,1
131,Making Fist and Open,575960.578000,575962.671000,1
132,Making Fist and Open,575968.312000,575970.406000,1
133,Making Fist and Open,575971.750000,575973.750000,1
134,Making Fist and Open,575975.015000,575977.062000,1
135,Making Fist and Open,575978.328000,575980.406000,1
136,Making Fist and Open,575981.953000,575984.031000,1
137,Making Fist and Open,575985.406000,575987.468000,1
138,Making Fist and Open,575988.843000,575990.921000,1
139,Making Fist and Open,575992.062000,575994.140000,1
140,Making Fist and Open,575995.406000,575997.468000,1
141,Palm Up-Down,576014.968000,576016.984000,1
142,Palm Up-Down,576019.984000,576022.000000,1
143,Palm Up-Down,576023.421000,576025.500000,1
144,Palm Up-Down,576027.406000,576029.484000,1
145,Palm Up-Down,576030.859000,576032.921000,1
146,Palm Up-Down,576034.218000,576036.265000,1
147,Palm Up-Down,576037.515000,576039.625000,1
148,Palm Up-Down,576040.906000,576042.984000,1
149,Palm Up-Down,576044.484000,576046.546000,1
