trial_index,gesture,t_start,t_end,accepted
1,Push,573449.921000,573451.968000,1
2,Push,573455.312000,573457.406000,1
3,Push,573467.968000,573470.062000,1
4,Push,573472.484000,573474.578000,1
5,Push,573488.640000,573490.734000,1
6,Push,573503.125000,573505.203000,1
7,Push,573518.734000,573520.812000,1
8,Push,573525.750000,573527.765000,1
9,Push,573532.015000,573534.078000,1
10,Push,573541.453000,573543.546000,1
11,Pull,573553.281000,573555.375000,1
12,Pull,573561.578000,573563.671000,1
13,Pull,573566.093000,573568.171000,1
14,Pull,573570.687000,573572.765000,1
15,Pull,573575.046000,573577.109000,1
16,Pull,573579.406000,573581.484000,1
17,Pull,573584.343000,573586.437000,1
18,Pull,573588.640000,573590.718000,1
19,Pull,573593.343000,573595.437000,1
20,Pull,573597.984000,573599.984000,1
21,Clockwise,573625.171000,573627.234000,1
22,Clockwise,573631.062000,573633.109000,1
23,Clockwise,573647.843000,573649.843000,1
24,Clockwise,573652.375000,573654.375000,1
25,Clockwise,573658.250000,573660.343000,1
26,Clockwise,573662.796000,573664.875000,1
27,Clockwise,573667.734000,573669.796000,1
28,Clockwise,573672.046000,573674.140000,1
29,Clockwise,573676.671000,573678.734000,1
30,Clockwise,573685.859000,573687.953000,1
31,Anti-clockwise,573703.328000,573705.406000,1
32,Anti-clockwise,573712.140000,573714.140000,0
33,Anti-clockwise,573743.093000,573745.109000,1
34,Anti-clockwise,573748.296000,573750.390000,1
35,Anti-clockwise,573752.921000,573755.015000,1
36,Anti-clockwise,573757.328000,573759.406000,1
37,Anti-clockwise,573761.796000,573763.875000,1
38,Anti-clockwise,573766.453000,573768.453000,1
39,Anti-clockwise,573770.937000,573773.015000,1
40,Anti-clockwise,573775.421000,573777.500000,1
41,Right,573789.812000,573791.890000,1
42,Right,573794.468000,573796.468000,1
43,Right,573799.312000,573801.390000,1
44,Right,573804.609000,573806.687000,1
45,Right,573810.671000,573812.671000,1
46,Right,573816.234000,573818.312000,1
47,Right,573834.406000,573836.468000,1
48,Right,573839.171000,573841.187000,1
49,Right,573843.687000,573845.765000,1
50,Right,573848.656000,573850.718000,1
51,Left,573855.828000,573857.906000,1
52,Left,573860.328000,573862.375000,1
53,Left,573865.078000,573867.140000,1
54,Left,573870.421000,573872.500000,1
55,Left,573875.281000,573877.375000,1
56,Left,573880.062000,573882.156000,1
57,Left,573885.140000,573887.218000,1
58,Left,573890.109000,573892.187000,1
59,Left,573896.531000,573898.562000,1
60,Left,573902.656000,573904.656000,1
61,Bye-Bye,573912.312000,573914.312000,1
62,Bye-Bye,573915.578000,573917.656000,1
63,Bye-Bye,573918.593000,573920.671000,1
64,Bye-Bye,573921.718000,573923.765000,1
65,Bye-Bye,573924.718000,573926.812000,1
66,Bye-Bye,573928.109000,573930.203000,1
67,Bye-Bye,573931.343000,573933.359000,1
68,Bye-Bye,573934.625000,573936.687000,1
69,Bye-Bye,573937.765000,573939.859000,1
70,Bye-Bye,573940.921000,573942.937000,1
71,One-Arm Boxing,573962.515000,573964.593000,1
72,One-Arm Boxing,573968.218000,573970.281000,1
73,One-Arm Boxing,573972.859000,573974.953000,1
74,One-Arm Boxing,573976.984000,573979.062000,1
75,One-Arm Boxing,573981.718000,573983.796000,1
76,One-Arm Boxing,573986.015000,573988.109000,1
77,One-Arm Boxing,573990.578000,573992.656000,1
78,One-Arm Boxing,573995.281000,573997.359000,1
79,One-Arm Boxing,573999.750000,574001.843000,1
80,One-Arm Boxing,574004.250000,574006.250000,1
81,Clapping,574012.343000,574014.421000,0
81,Clapping,574021.515000,574023.609000,1
82,Clapping,574025.953000,574028.015000,1
83,Clapping,574029.671000,574031.750000,1
84,Clapping,574033.125000,574035.125000,1
85,Clapping,574037.109000,574039.156000,1
86,Clapping,574040.218000,574042.265000,1
87,Clapping,574043.390000,574045.437000,1
88,Clapping,574046.671000,574048.750000,0
88,Clapping,574051.687000,574053.734000,1
89,Clapping,574055.156000,574057.250000,1
90,Clapping,574058.437000,574060.437000,0
90,Clapping,574062.625000,574064.718000,1
91,Two-Arm Boxing,574076.062000,574078.156000,1
92,Two-Arm Boxing,574083.781000,574085.875000,1
93,Two-Arm Boxing,574088.390000,574090.453000,0
93,Two-Arm Boxing,574104.781000,574106.859000,0
93,Two-Arm Boxing,574111.218000,574113.265000,1
94,Two-Arm Boxing,574116.093000,574118.093000,1
95,Two-Arm Boxing,574120.375000,574122.468000,1
96,Two-Arm Boxing,574125.437000,574127.531000,1
97,Two-Arm Boxing,574131.468000,574133.546000,0
97,Two-Arm Boxing,574136.812000,574138.906000,1
