t_monotonic,ax,ay,az,gx,gy,gz
573422.625000,-0.935,-0.135,-0.059,-0.58,-21.45,16.88
573422.671000,-1.019,-0.151,-0.056,-10.25,-8.91,18.49
573422.718000,-1.093,-0.258,0.081,-4.46,-17.12,27.65
573422.765000,-1.056,-0.176,0.06,-23.62,-19.71,-3.17
573422.812000,-0.903,-0.117,-0.036,-29.88,-33.66,-4.36
573422.859000,-0.918,-0.126,-0.027,-26.8,-7.84,11.05
573422.906000,-0.998,-0.104,0.061,-23.59,-8.79,10.83
573422.953000,-0.909,-0.229,-0.036,-21.85,8.15,5.71
573423.000000,-0.955,-0.086,0.049,-15.23,1.43,-10.93
573423.046000,-0.956,-0.042,-0.021,-11.96,15.96,1.07
573423.093000,-1.01,-0.214,0.026,12.63,-10.28,34.76
573423.140000,-0.972,-0.158,-0.001,5.1,10.74,-2.41
573423.187000,-1.076,-0.184,0.027,36.1,-12.97,24.48
573423.234000,-1.036,-0.107,0.072,27.13,-11.93,-17.3
573423.281000,-1.011,0.075,0.084,37.23,-25.7,2.78
573423.328000,-1.057,-0.045,0.14,37.93,-28.35,24.38
573423.375000,-1.026,-0.161,0.087,39.8,-52.55,31.34
573423.421000,-1.072,-0.147,0.151,21.85,-38.21,-0.55
573423.468000,-1.089,-0.157,0.23,28.72,-56.43,-8.88
573423.515000,-1.014,-0.309,0.237,63.84,-95.8,-29.6
573423.562000,-1.062,0.096,0.261,45.41,-74.13,-61.49
573423.609000,-1.183,-0.009,0.53,-12.57,-75.9,-28.96
573423.656000,-1.119,0.022,0.466,-14.1,-135.65,-56.55
573423.703000,-0.898,0.046,0.494,-6.38,-149.51,-17.3
573423.750000,-0.827,0.013,0.626,-18.59,-156.07,-3.08
573423.796000,-0.553,-0.164,0.571,-6.23,-190.95,18.74
573423.843000,-0.411,-0.247,0.62,-2.5,-144.23,10.01
573423.890000,-0.311,-0.282,0.631,14.31,-92.32,12.3
573423.937000,-0.362,-0.144,0.755,-21.24,-29.05,-2.14
573423.984000,-0.393,-0.376,0.742,1.16,-32.01,15.5
573424.031000,-0.389,-0.217,0.764,-14.77,3.17,-15.72
573424.078000,-0.404,-0.222,0.867,-4.85,6.32,-0.21
573424.125000,-0.421,-0.261,0.889,5.74,-1.53,-10.59
573424.171000,-0.437,-0.212,0.917,-1.22,1.74,-21.33
573424.218000,-0.42,-0.183,0.838,20.48,3.48,-13.34
573424.265000,-0.401,-0.189,0.726,3.05,68.97,-19.71
573424.312000,-0.49,-0.113,0.758,29.57,81.91,-13.06
573424.359000,-0.533,-0.322,0.661,27.95,83.9,-25.21
573424.406000,-0.704,0.106,0.826,-16.75,110.57,-15.5
