t_monotonic,event,trial_index,gesture,note
508479.859000,trial_start,1,Push,
508481.953000,trial_end,1,Push,
508488.687000,trial_accept,1,Push,
508491.078000,trial_start,2,Push,
508493.156000,trial_end,2,Push,
508495.406000,trial_accept,2,Push,
508497.140000,trial_start,3,Push,
508499.203000,trial_end,3,Push,
508501.640000,trial_accept,3,Push,
508503.125000,trial_start,4,Push,
508505.203000,trial_end,4,Push,
508507.468000,trial_accept,4,Push,
508509.046000,trial_start,5,Push,
508511.093000,trial_end,5,Push,
508512.343000,trial_accept,5,Push,
508513.640000,trial_start,6,Push,
508515.671000,trial_end,6,Push,
508517.718000,trial_accept,6,Push,
508518.984000,trial_start,7,Push,
508521.031000,trial_end,7,Push,
508522.484000,trial_accept,7,Push,
508524.046000,trial_start,8,Push,
508526.093000,trial_end,8,Push,
508527.234000,trial_accept,8,Push,
508528.906000,trial_start,9,Push,
508530.953000,trial_end,9,Push,
508531.843000,trial_accept,9,Push,
508533.703000,trial_start,10,Push,
508535.750000,trial_end,10,Push,
508538.484000,trial_accept,10,Push,
508542.359000,trial_start,11,Pull,
508544.437000,trial_end,11,Pull,
508545.312000,trial_accept,11,Pull,
508547.734000,trial_start,12,Pull,
508549.828000,trial_end,12,Pull,
508550.921000,trial_accept,12,Pull,
508552.609000,trial_start,13,Pull,
508554.640000,trial_end,13,Pull,
508555.703000,trial_accept,13,Pull,
508557.546000,trial_start,14,Pull,
508559.578000,trial_end,14,Pull,
508560.515000,trial_accept,14,Pull,
508562.500000,trial_start,15,Pull,
508564.546000,trial_end,15,Pull,
508565.625000,trial_accept,15,Pull,
508567.687000,trial_start,16,Pull,
508569.750000,trial_end,16,Pull,
508570.765000,trial_accept,16,Pull,
508572.562000,trial_start,17,Pull,
508574.625000,trial_end,17,Pull,
508575.546000,trial_accept,17,Pull,
508577.546000,trial_start,18,Pull,
508579.593000,trial_end,18,Pull,
508580.562000,trial_accept,18,Pull,
508582.328000,trial_start,19,Pull,
508584.390000,trial_end,19,Pull,
508585.296000,trial_accept,19,Pull,
508587.218000,trial_start,20,Pull,
508589.265000,trial_end,20,Pull,
508590.796000,trial_accept,20,Pull,
508600.171000,trial_start,21,Clockwise,
508602.265000,trial_end,21,Clockwise,
508604.031000,trial_accept,21,Clockwise,
508605.984000,trial_start,22,Clockwise,
508608.031000,trial_end,22,Clockwise,
508609.984000,trial_accept,22,Clockwise,
508611.656000,trial_start,23,Clockwise,
508613.718000,trial_end,23,Clockwise,
508616.656000,trial_accept,23,Clockwise,
508618.500000,trial_start,24,Clockwise,
508620.593000,trial_end,24,Clockwise,
508621.765000,trial_accept,24,Clockwise,
508623.187000,trial_start,25,Clockwise,
508625.281000,trial_end,25,Clockwise,
508626.250000,trial_accept,25,Clockwise,
508627.468000,trial_start,26,Clockwise,
508629.531000,trial_end,26,Clockwise,
508630.421000,trial_accept,26,Clockwise,
508632.078000,trial_start,27,Clockwise,
508634.156000,trial_end,27,Clockwise,
508636.500000,trial_accept,27,Clockwise,
508638.250000,trial_start,28,Clockwise,
508640.296000,trial_end,28,Clockwise,
508641.343000,trial_accept,28,Clockwise,
508649.765000,trial_start,29,Clockwise,
508651.828000,trial_end,29,Clockwise,
508655.234000,trial_accept,29,Clockwise,
508657.328000,trial_start,30,Clockwise,
508659.375000,trial_end,30,Clockwise,
508662.000000,trial_accept,30,Clockwise,
508666.218000,trial_start,31,Anti-clockwise,
508668.312000,trial_end,31,Anti-clockwise,
508669.312000,trial_accept,31,Anti-clockwise,
508671.046000,trial_start,32,Anti-clockwise,
508673.109000,trial_end,32,Anti-clockwise,
508673.890000,trial_accept,32,Anti-clockwise,
508675.406000,trial_start,33,Anti-clockwise,
508677.421000,trial_end,33,Anti-clockwise,
508678.375000,trial_accept,33,Anti-clockwise,
508679.906000,trial_start,34,Anti-clockwise,
508681.921000,trial_end,34,Anti-clockwise,
508682.750000,trial_accept,34,Anti-clockwise,
508684.265000,trial_start,35,Anti-clockwise,
508686.328000,trial_end,35,Anti-clockwise,
508687.093000,trial_accept,35,Anti-clockwise,
508688.515000,trial_start,36,Anti-clockwise,
508690.593000,trial_end,36,Anti-clockwise,
508691.468000,trial_accept,36,Anti-clockwise,
508693.078000,trial_start,37,Anti-clockwise,
508695.171000,trial_end,37,Anti-clockwise,
508696.125000,trial_accept,37,Anti-clockwise,
508697.640000,trial_start,38,Anti-clockwise,
508699.718000,trial_end,38,Anti-clockwise,
508700.406000,trial_accept,38,Anti-clockwise,
508700.843000,trial_start,39,Anti-clockwise,
508702.906000,trial_end,39,Anti-clockwise,
508704.343000,trial_reject,39,Anti-clockwise,repeat requested
508706.640000,trial_start,39,Anti-clockwise,
508708.718000,trial_end,39,Anti-clockwise,
508709.968000,trial_accept,39,Anti-clockwise,
508711.718000,trial_start,40,Anti-clockwise,
508713.781000,trial_end,40,Anti-clockwise,
508716.250000,trial_accept,40,Anti-clockwise,
508724.796000,trial_start,41,Right,
508726.843000,trial_end,41,Right,
508728.500000,trial_accept,41,Right,
508731.796000,trial_start,42,Right,
508733.859000,trial_end,42,Right,
508734.843000,trial_accept,42,Right,
508736.515000,trial_start,43,Right,
508738.609000,trial_end,43,Right,
508739.718000,trial_accept,43,Right,
508741.734000,trial_start,44,Right,
508743.812000,trial_end,44,Right,
508744.859000,trial_accept,44,Right,
508747.296000,trial_start,45,Right,
508749.375000,trial_end,45,Right,
508750.265000,trial_accept,45,Right,
508752.968000,trial_start,46,Right,
508755.062000,trial_end,46,Right,
508756.000000,trial_accept,46,Right,
508758.312000,trial_start,47,Right,
508760.390000,trial_end,47,Right,
508761.437000,trial_accept,47,Right,
508763.875000,trial_start,48,Right,
508765.953000,trial_end,48,Right,
508767.140000,trial_accept,48,Right,
508770.078000,trial_start,49,Right,
508772.156000,trial_end,49,Right,
508773.609000,trial_accept,49,Right,
508776.578000,trial_start,50,Right,
508778.671000,trial_end,50,Right,
508780.671000,trial_accept,50,Right,
508789.828000,trial_start,51,Left,
508791.906000,trial_end,51,Left,
508793.562000,trial_accept,51,Left,
508796.062000,trial_start,52,Left,
508798.156000,trial_end,52,Left,
508800.953000,trial_accept,52,Left,
508803.031000,trial_start,53,Left,
508805.078000,trial_end,53,Left,
508806.484000,trial_accept,53,Left,
508808.734000,trial_start,54,Left,
508810.828000,trial_end,54,Left,
508812.062000,trial_accept,54,Left,
508813.937000,trial_start,55,Left,
508816.015000,trial_end,55,Left,
508822.593000,trial_accept,55,Left,
508824.484000,trial_start,56,Left,
508826.546000,trial_end,56,Left,
508827.703000,trial_accept,56,Left,
508829.609000,trial_start,57,Left,
508831.687000,trial_end,57,Left,
508833.109000,trial_accept,57,Left,
508835.062000,trial_start,58,Left,
508837.125000,trial_end,58,Left,
508838.312000,trial_accept,58,Left,
508840.531000,trial_start,59,Left,
508842.640000,trial_end,59,Left,
508843.578000,trial_accept,59,Left,
508845.968000,trial_start,60,Left,
508848.046000,trial_end,60,Left,
508849.359000,trial_accept,60,Left,
508854.343000,trial_start,61,Bye-Bye,
508856.406000,trial_end,61,Bye-Bye,
508858.000000,trial_reject,61,Bye-Bye,repeat requested
508863.093000,trial_start,61,Bye-Bye,
508865.171000,trial_end,61,Bye-Bye,
508866.312000,trial_accept,61,Bye-Bye,
508875.781000,trial_start,62,Bye-Bye,
508877.875000,trial_end,62,Bye-Bye,
508878.859000,trial_accept,62,Bye-Bye,
508879.500000,trial_start,63,Bye-Bye,
508881.562000,trial_end,63,Bye-Bye,
508882.390000,trial_accept,63,Bye-Bye,
508882.890000,trial_start,64,Bye-Bye,
508884.953000,trial_end,64,Bye-Bye,
508887.906000,trial_accept,64,Bye-Bye,
508890.843000,trial_start,65,Bye-Bye,
508892.921000,trial_end,65,Bye-Bye,
508893.984000,trial_accept,65,Bye-Bye,
508894.609000,trial_start,66,Bye-Bye,
508896.703000,trial_end,66,Bye-Bye,
508897.921000,trial_accept,66,Bye-Bye,
508898.562000,trial_start,67,Bye-Bye,
508900.609000,trial_end,67,Bye-Bye,
508901.687000,trial_accept,67,Bye-Bye,
508902.281000,trial_start,68,Bye-Bye,
