trial_index,gesture,t_start,t_end,accepted
1,Push,508479.859000,508481.953000,1
2,Push,508491.078000,508493.156000,1
3,Push,508497.140000,508499.203000,1
4,Push,508503.125000,508505.203000,1
5,Push,508509.046000,508511.093000,1
6,Push,508513.640000,508515.671000,1
7,Push,508518.984000,508521.031000,1
8,Push,508524.046000,508526.093000,1
9,Push,508528.906000,508530.953000,1
10,Push,508533.703000,508535.750000,1
11,Pull,508542.359000,508544.437000,1
12,Pull,508547.734000,508549.828000,1
13,Pull,508552.609000,508554.640000,1
14,Pull,508557.546000,508559.578000,1
15,Pull,508562.500000,508564.546000,1
16,Pull,508567.687000,508569.750000,1
17,Pull,508572.562000,508574.625000,1
18,Pull,508577.546000,508579.593000,1
19,Pull,508582.328000,508584.390000,1
20,Pull,508587.218000,508589.265000,1
21,Clockwise,508600.171000,508602.265000,1
22,Clockwise,508605.984000,508608.031000,1
23,Clockwise,508611.656000,508613.718000,1
24,Clockwise,508618.500000,508620.593000,1
25,Clockwise,508623.187000,508625.281000,1
26,Clockwise,508627.468000,508629.531000,1
27,Clockwise,508632.078000,508634.156000,1
28,Clockwise,508638.250000,508640.296000,1
29,Clockwise,508649.765000,508651.828000,1
30,Clockwise,508657.328000,508659.375000,1
31,Anti-clockwise,508666.218000,508668.312000,1
32,Anti-clockwise,508671.046000,508673.109000,1
33,Anti-clockwise,508675.406000,508677.421000,1
34,Anti-clockwise,508679.906000,508681.921000,1
35,Anti-clockwise,508684.265000,508686.328000,1
36,Anti-clockwise,508688.515000,508690.593000,1
37,Anti-clockwise,508693.078000,508695.171000,1
38,Anti-clockwise,508697.640000,508699.718000,1
39,Anti-clockwise,508700.843000,508702.906000,0
39,Anti-clockwise,508706.640000,508708.718000,1
40,Anti-clockwise,508711.718000,508713.781000,1
41,Right,508724.796000,508726.843000,1
42,Right,508731.796000,508733.859000,1
43,Right,508736.515000,508738.609000,1
44,Right,508741.734000,508743.812000,1
45,Right,508747.296000,508749.375000,1
46,Right,508752.968000,508755.062000,1
47,Right,508758.312000,508760.390000,1
48,Right,508763.875000,508765.953000,1
49,Right,508770.078000,508772.156000,1
50,Right,508776.578000,508778.671000,1
51,Left,508789.828000,508791.906000,1
52,Left,508796.062000,508798.156000,1
53,Left,508803.031000,508805.078000,1
54,Left,508808.734000,508810.828000,1
55,Left,508813.937000,508816.015000,1
56,Left,508824.484000,508826.546000,1
57,Left,508829.609000,508831.687000,1
58,Left,508835.062000,508837.125000,1
59,Left,508840.531000,508842.640000,1
60,Left,508845.968000,508848.046000,1
61,Bye-Bye,508854.343000,508856.406000,0
61,Bye-Bye,508863.093000,508865.171000,1
62,Bye-Bye,508875.781000,508877.875000,1
63,Bye-Bye,508879.500000,508881.562000,1
64,Bye-Bye,508882.890000,508884.953000,1
65,Bye-Bye,508890.843000,508892.921000,1
66,Bye-Bye,508894.609000,508896.703000,1
67,Bye-Bye,508898.562000,508900.609000,1
68,Bye-Bye,508902.281000,508904.343000,1
69,Bye-Bye,508906.546000,508908.593000,1
70,Bye-Bye,508911.734000,508913.796000,1
71,One-Arm Boxing,508921.078000,508923.140000,1
72,One-Arm Boxing,508926.343000,508928.406000,1
73,One-Arm Boxing,508931.093000,508933.156000,1
74,One-Arm Boxing,508935.265000,508937.312000,1
75,One-Arm Boxing,508939.296000,508941.390000,1
76,One-Arm Boxing,508943.375000,508945.453000,1
77,One-Arm Boxing,508947.734000,508949.796000,1
78,One-Arm Boxing,508953.328000,508955.328000,1
79,One-Arm Boxing,508957.718000,508959.765000,1
80,One-Arm Boxing,508962.265000,508964.343000,1
81,Clapping,508970.015000,508972.093000,1
82,Clapping,508973.406000,508975.406000,1
83,Clapping,508976.453000,508978.546000,1
84,Clapping,508979.765000,508981.828000,1
85,Clapping,508983.156000,508985.218000,1
86,Clapping,508986.390000,508988.453000,1
87,Clapping,508989.687000,508991.750000,1
88,Clapping,508992.937000,508995.015000,1
89,Clapping,508996.312000,508998.359000,1
90,Clapping,508999.671000,509001.765000,1
91,Two-Arm Boxing,509017.593000,509019.671000,1
92,Two-Arm Boxing,509022.484000,509024.515000,1
93,Two-Arm Boxing,509027.015000,509029.093000,0
93,Two-Arm Boxing,509032.375000,509034.468000,1
94,Two-Arm Boxing,509037.609000,509039.687000,1
95,Two-Arm Boxing,509042.515000,509044.609000,1
96,Two-Arm Boxing,509047.171000,509049.250000,1
97,Two-Arm Boxing,509051.906000,509053.984000,1
98,Two-Arm Boxing,509056.359000,509058.406000,1
99,Two-Arm Boxing,509061.828000,509063.890000,1
