trial_index,gesture,t_start,t_end,accepted
1,Push,509636.484000,509638.578000,1
2,Push,509643.015000,509645.078000,1
3,Push,509648.921000,509650.984000,1
4,Push,509654.437000,509656.515000,1
5,Push,509661.109000,509663.171000,1
6,Push,509670.171000,509672.265000,1
7,Push,509676.750000,509678.781000,1
8,Push,509685.453000,509687.515000,1
9,Push,509722.687000,509724.796000,1
10,Push,509731.906000,509733.968000,1
11,Pull,509740.796000,509742.843000,1
12,Pull,509746.281000,509748.343000,1
13,Pull,509754.000000,509756.109000,1
14,Pull,509763.031000,509765.078000,1
15,Pull,509770.812000,509772.906000,1
16,Pull,509776.625000,509778.703000,1
17,Pull,509782.500000,509784.578000,1
18,Pull,509787.843000,509789.859000,1
19,Pull,509793.312000,509795.390000,1
20,Pull,509799.296000,509801.312000,1
21,Clockwise,509810.656000,509812.750000,1
22,Clockwise,509824.187000,509826.250000,0
22,Clockwise,509858.593000,509860.671000,1
23,Clockwise,509871.343000,509873.390000,1
24,Clockwise,509877.250000,509879.328000,1
25,Clockwise,509882.734000,509884.796000,1
26,Clockwise,509888.281000,509890.328000,1
27,Clockwise,509893.968000,509896.062000,1
28,Clockwise,509900.484000,509902.500000,1
29,Clockwise,509906.453000,509908.484000,1
30,Clockwise,509911.828000,509913.890000,1
31,Anti-clockwise,509920.984000,509923.031000,1
32,Anti-clockwise,509926.296000,509928.375000,1
33,Anti-clockwise,509931.468000,509933.531000,1
34,Anti-clockwise,509936.406000,509938.484000,1
35,Anti-clockwise,509941.515000,509943.578000,1
36,Anti-clockwise,509947.500000,509949.609000,1
37,Anti-clockwise,509952.812000,509954.875000,1
38,Anti-clockwise,509958.078000,509960.171000,1
39,Anti-clockwise,509962.968000,509965.000000,1
40,Anti-clockwise,509968.390000,509970.437000,1
41,Right,509973.906000,509975.984000,0
41,Right,509981.640000,509983.687000,1
42,Right,509989.515000,509991.546000,1
43,Right,509995.015000,509997.031000,1
44,Right,510000.484000,510002.546000,1
45,Right,510006.109000,510008.187000,1
46,Right,510011.828000,510013.906000,1
47,Right,510017.156000,510019.250000,1
48,Right,510022.671000,510024.734000,1
49,Right,510028.468000,510030.468000,1
50,Right,510033.843000,510035.859000,0
50,Right,510040.515000,510042.593000,1
51,Left,510052.046000,510054.109000,1
52,Left,510057.625000,510059.718000,1
53,Left,510064.062000,510066.125000,1
54,Left,510070.062000,510072.062000,1
55,Left,510075.421000,510077.515000,1
56,Left,510081.234000,510083.296000,1
57,Left,510086.859000,510088.937000,1
58,Left,510092.343000,510094.359000,1
59,Left,510097.406000,510099.421000,1
60,Left,510102.750000,510104.828000,1
61,Bye-Bye,510113.281000,510115.375000,1
62,Bye-Bye,510117.984000,510120.062000,1
63,Bye-Bye,510122.078000,510124.156000,1
64,Bye-Bye,510126.640000,510128.671000,1
65,Bye-Bye,510131.062000,510133.156000,1
