t_monotonic,ax,ay,az,gx,gy,gz
509621.312000,-0.99,-0.111,-0.071,-4.79,0.64,-1.22
509621.359000,-0.987,-0.116,-0.069,-3.33,0.0,-0.55
509621.406000,-0.987,-0.115,-0.069,-1.65,-0.67,-1.07
509621.453000,-0.984,-0.116,-0.073,1.53,-1.89,-0.46
509621.500000,-0.98,-0.119,-0.077,-0.73,-0.4,-0.18
509621.546000,-0.993,-0.119,-0.07,-1.46,1.07,1.65
509621.593000,-0.999,-0.13,-0.065,-5.01,1.34,2.14
509621.640000,-0.986,-0.146,-0.066,-3.63,-1.13,0.43
509621.687000,-0.983,-0.132,-0.075,-0.85,-0.49,-1.68
509621.734000,-0.988,-0.116,-0.071,-1.71,0.92,-1.1
509621.781000,-0.993,-0.119,-0.068,-1.92,-0.15,-1.07
509621.828000,-0.991,-0.115,-0.083,1.68,-0.61,-0.52
509621.875000,-0.986,-0.118,-0.078,1.28,1.22,0.34
509621.921000,-0.981,-0.127,-0.076,2.75,0.82,0.58
509621.968000,-0.988,-0.129,-0.07,2.56,1.89,0.95
509622.015000,-0.99,-0.127,-0.06,2.66,1.53,-0.12
509622.062000,-0.99,-0.125,-0.062,0.92,0.21,-0.64
509622.109000,-0.986,-0.124,-0.067,1.01,-0.03,-0.27
509622.156000,-0.986,-0.126,-0.073,0.06,0.34,0.06
509622.203000,-0.989,-0.126,-0.077,-0.27,0.18,-0.09
509622.250000,-0.992,-0.126,-0.077,-0.06,0.85,-0.09
509622.296000,-0.986,-0.126,-0.075,-0.18,0.4,-0.12
509622.343000,-0.988,-0.13,-0.073,-1.16,1.74,-0.21
509622.390000,-0.99,-0.124,-0.067,-0.49,1.77,-0.67
509622.437000,-0.988,-0.12,-0.067,2.44,0.92,-0.79
509622.484000,-0.932,-0.013,-0.079,4.97,-2.11,-2.04
509622.531000,-0.941,0.322,-0.541,17.88,-32.17,45.23
509622.578000,-1.03,-0.265,-0.29,-55.7,88.81,140.57
509622.625000,-1.132,-0.283,0.182,-21.79,66.65,-36.04
509622.671000,-1.095,0.136,-0.01,116.43,-16.11,-32.23
509622.718000,-0.928,0.159,-0.175,102.66,-33.57,13.52
509622.765000,-0.903,0.063,-0.109,-6.01,37.63,34.0
509622.812000,-1.052,0.022,0.011,-66.62,44.56,45.66
509622.859000,-1.049,-0.082,0.009,-53.41,11.99,33.66
509622.906000,-1.007,-0.078,-0.071,-23.83,-19.5,10.07
509622.953000,-1.0,0.026,-0.213,-18.95,-28.17,-4.52
509623.000000,-0.991,0.027,-0.261,-30.27,-19.56,-4.61
509623.046000,-0.98,0.065,-0.274,-35.71,-8.12,-12.79
509623.093000,-0.965,0.056,-0.277,-24.96,7.05,-6.1
509623.140000,-0.97,-0.009,-0.165,-19.75,28.99,-10.28
509623.203000,-1.027,-0.075,-0.055,-20.75,31.4,-24.26
509623.250000,-1.076,-0.133,-0.052,-40.83,30.3,-39.55
509623.296000,-1.304,-0.634,0.078,-144.35,22.06,-110.02
509623.343000,-1.742,-1.024,-0.155,56.15,-74.53,-188.24
509623.390000,-1.96,-0.797,-0.328,118.53,-92.59,-283.18
509623.437000,-1.659,-0.688,-0.246,97.9,-137.24,-311.66
509623.484000,-0.858,-0.008,-0.383,70.04,-163.52,-303.54
509623.531000,-0.192,0.704,-0.555,65.86,-192.18,-281.04
509623.578000,0.158,0.729,-1.171,169.87,56.95,31.71
509623.625000,-0.754,0.339,-0.248,-42.57,392.32,73.89
509623.671000,-1.844,-0.091,0.278,-126.87,437.21,178.2
509623.718000,-1.99,-0.739,0.614,-202.52,128.45,224.71
509623.765000,-1.257,-0.944,0.36,173.89,-122.56,172.64
509623.812000,-0.78,-0.372,-0.327,34.09,-232.18,78.92
509623.875000,-0.704,-0.556,-0.242,23.19,13.28,158.21
509623.921000,-1.138,-0.57,-0.04,1.16,208.78,75.08
509623.968000,-1.376,-0.287,0.258,65.89,179.88,25.61
509624.015000,-1.234,-0.216,0.164,80.29,50.6,68.94
509624.062000,-1.047,-0.264,-0.062,-25.64,-49.32,56.34
509624.109000,-0.997,-0.168,-0.167,-92.62,-71.47,-5.77
509624.156000,-0.929,-0.156,-0.182,-106.42,-30.37,3.17
509624.203000,-0.954,-0.182,-0.144,-70.25,-1.13,4.21
509624.250000,-1.002,-0.151,-0.157,-52.34,7.84,7.45
509624.296000,-1.027,-0.156,-0.188,-62.75,2.29,2.66
509624.343000,-1.01,-0.138,-0.211,-58.81,-0.98,-10.56
509624.390000,-0.984,-0.113,-0.191,-29.27,8.61,-16.57
509624.437000,-0.97,-0.053,-0.13,5.04,13.76,-15.44
509624.484000,-0.978,-0.019,-0.136,10.71,7.97,-6.96
509624.531000,-0.979,-0.032,-0.136,-3.63,5.07,-4.94
509624.578000,-0.993,-0.019,-0.133,2.11,-0.52,-6.93
509624.625000,-0.984,-0.027,-0.157,10.62,-3.27,-0.15
509624.671000,-0.979,-0.034,-0.158,15.66,-2.78,4.85
509624.718000,-0.979,-0.06,-0.151,18.25,-0.58,11.75
509624.765000,-0.983,-0.103,-0.122,28.69,-2.17,11.84
509624.812000,-0.99,-0.11,-0.129,31.8,-1.65,12.36
509624.859000,-0.994,-0.124,-0.12,10.71,4.43,8.64
509624.906000,-1.001,-0.132,-0.112,-0.18,2.35,4.33
509624.953000,-0.983,-0.123,-0.14,-5.1,2.93,-1.4
509625.000000,-0.983,-0.093,-0.137,-8.55,5.07,-4.55
509625.046000,-0.982,-0.076,-0.144,-8.48,3.69,-3.54
509625.109000,-0.98,-0.071,-0.146,-7.05,3.02,-2.81
509625.156000,-0.977,-0.057,-0.151,-7.08,3.85,-0.85
509625.203000,-0.977,-0.05,-0.154,-9.43,4.91,-0.21
509625.250000,-0.987,-0.05,-0.155,-12.45,3.72,-0.31
509625.296000,-0.98,-0.074,-0.15,-4.12,-0.31,0.06
509625.343000,-0.975,-0.081,-0.153,9.43,-1.65,2.29
509625.390000,-0.98,-0.074,-0.141,6.16,0.03,0.31
509625.437000,-0.982,-0.069,-0.148,0.89,-2.41,0.7
509625.484000,-0.987,-0.07,-0.16,-4.09,-0.64,0.34
509625.531000,-0.986,-0.077,-0.149,0.55,-1.04,2.26
509625.578000,-0.975,-0.109,-0.143,3.75,-2.87,0.43
509625.625000,-0.989,-0.084,-0.145,5.65,-1.43,-2.29
509625.671000,-0.991,-0.058,-0.15,-11.17,0.82,-2.44
509625.718000,-0.98,-0.068,-0.163,-13.06,-0.37,-1.68
509625.765000,-0.975,-0.081,-0.149,-2.44,0.79,0.12
509625.812000,-0.988,-0.077,-0.151,-5.37,0.4,-0.37
509625.859000,-0.99,-0.078,-0.158,-12.73,2.38,-1.43
509625.906000,-0.976,-0.071,-0.148,-6.26,-0.21,-2.2
509625.953000,-0.974,-0.052,-0.161,-1.07,0.67,2.29
509626.000000,-0.993,-0.063,-0.145,-8.27,2.41,3.42
509626.046000,-0.972,-0.084,-0.143,-7.26,0.09,3.54
509626.093000,-0.987,-0.058,-0.148,-3.36,1.59,1.07
509626.140000,-0.991,-0.064,-0.158,-9.4,0.15,4.15
509626.187000,-0.988,-0.086,-0.165,-10.53,-0.61,-0.64
509626.234000,-0.987,-0.072,-0.169,-4.06,1.62,-7.11
509626.281000,-0.991,-0.065,-0.157,4.27,0.89,-9.64
509626.343000,-0.972,-0.06,-0.151,6.13,0.03,-5.55
509626.390000,-0.979,-0.036,-0.148,5.95,-0.31,-5.07
509626.437000,-0.98,-0.046,-0.151,-5.37,-1.62,-1.31
509626.484000,-0.985,-0.059,-0.176,-4.58,-0.12,2.35
509626.531000,-0.985,-0.073,-0.159,-0.58,2.44,1.19
509626.578000,-0.971,-0.075,-0.165,9.8,-0.64,3.02
509626.625000,-0.976,-0.083,-0.154,7.17,3.81,3.45
509626.671000,-0.985,-0.086,-0.148,4.58,2.53,1.46
509626.718000,-0.987,-0.076,-0.152,3.85,3.36,1.1
509626.765000,-0.976,-0.07,-0.149,1.43,2.72,1.92
509626.812000,-0.975,-0.068,-0.163,0.55,1.77,3.57
509626.859000,-0.983,-0.056,-0.175,-4.39,6.38,6.16
509626.906000,-0.968,-0.016,-0.215,-17.3,14.8,16.36
509626.953000,-0.97,-0.045,-0.178,-24.02,24.45,19.53
509627.000000,-0.98,-0.04,-0.19,-8.79,14.47,17.49
509627.046000,-0.981,-0.046,-0.183,-9.64,10.96,9.8
509627.093000,-0.983,-0.041,-0.179,-5.31,3.81,3.6
509627.140000,-0.984,-0.027,-0.209,-1.83,-2.96,-1.46
509627.187000,-0.975,-0.013,-0.228,-3.05,-3.05,-4.94
509627.234000,-0.968,0.005,-0.215,-2.53,0.24,-4.58
509627.281000,-0.964,0.019,-0.219,-6.62,2.56,0.92
509627.328000,-0.959,0.014,-0.199,-11.41,8.18,5.28
509627.390000,-0.985,0.014,-0.201,-4.67,3.08,8.03
509627.437000,-0.977,0.016,-0.225,-3.81,-0.09,2.72
509627.484000,-0.972,0.027,-0.227,-0.43,-0.98,2.17
509627.531000,-0.963,0.009,-0.232,3.05,0.79,7.69
509627.593000,-0.974,-0.011,-0.222,-5.8,3.63,6.04
509627.640000,-0.98,-0.022,-0.217,-6.78,3.11,2.93
509627.687000,-0.973,-0.014,-0.217,-1.4,0.49,-0.52
509627.734000,-0.965,-0.007,-0.221,0.15,-0.03,-2.47
509627.781000,-0.97,-0.002,-0.221,0.12,-0.06,-3.97
509627.828000,-0.973,0.008,-0.226,0.98,-1.16,-5.22
509627.875000,-0.965,0.014,-0.23,0.49,-0.64,-6.38
509627.921000,-0.964,0.019,-0.229,1.56,0.06,-5.46
509627.968000,-0.962,0.02,-0.221,1.53,1.22,-3.6
509628.015000,-0.967,0.006,-0.206,1.74,0.27,-1.01
509628.062000,-0.972,0.005,-0.224,-1.37,-0.76,-2.5
509628.109000,-0.976,0.011,-0.224,-0.98,0.79,-2.38
509628.156000,-0.967,0.007,-0.232,-1.16,-0.89,-1.65
509628.203000,-0.966,0.002,-0.23,1.53,1.43,-0.58
509628.250000,-0.969,-0.01,-0.204,3.02,0.85,-0.31
509628.296000,-0.971,-0.013,-0.206,5.04,-1.4,-0.4
509628.343000,-0.968,-0.007,-0.214,3.3,-1.46,-2.56
509628.390000,-0.968,0.003,-0.226,1.77,-2.04,-2.23
509628.437000,-0.971,-0.007,-0.246,-0.76,0.46,-1.43
509628.484000,-0.978,-0.009,-0.228,5.4,3.6,-1.25
509628.531000,-0.97,-0.005,-0.205,8.39,2.59,-1.31
509628.578000,-0.966,-0.004,-0.195,8.67,-0.06,-0.18
509628.625000,-0.973,-0.01,-0.205,8.33,-2.17,1.19
509628.671000,-0.971,-0.022,-0.223,7.54,-2.93,0.31
509628.718000,-0.968,-0.012,-0.225,8.85,-1.22,-0.79
509628.765000,-0.964,-0.007,-0.219,9.92,-0.21,1.1
509628.812000,-0.969,-0.003,-0.205,8.67,1.53,3.78
509628.859000,-0.973,-0.015,-0.192,5.28,0.64,4.79
509628.906000,-0.975,-0.017,-0.198,3.69,-2.44,4.76
509628.953000,-0.971,-0.027,-0.21,2.78,-2.47,5.07
509629.000000,-0.972,-0.039,-0.211,1.95,-1.83,3.63
509629.046000,-0.981,-0.031,-0.211,1.65,-1.13,2.08
509629.093000,-0.978,-0.028,-0.209,0.73,-0.31,1.5
509629.140000,-0.966,-0.024,-0.194,-1.56,0.06,-0.12
509629.187000,-0.969,-0.013,-0.198,-2.87,-0.82,0.89
509629.234000,-0.973,-0.028,-0.197,-4.58,0.03,0.15
509629.281000,-0.981,-0.026,-0.197,-1.56,0.24,-4.36
509629.328000,-0.972,-0.019,-0.203,-2.81,-0.92,-4.12
509629.375000,-0.97,-0.052,-0.22,1.37,2.66,-9.89
509629.421000,-0.979,-0.041,-0.213,9.06,5.62,-14.65
509629.468000,-0.979,-0.047,-0.218,7.93,4.97,-16.91
509629.515000,-0.98,-0.043,-0.209,8.76,5.83,-16.33
509629.562000,-0.97,-0.032,-0.22,7.48,3.33,-11.51
509629.609000,-0.969,-0.034,-0.226,1.95,2.5,-2.9
509629.656000,-0.972,-0.053,-0.214,0.43,1.07,2.9
509629.703000,-0.974,-0.062,-0.215,0.89,-1.62,6.1
509629.750000,-0.977,-0.001,-0.269,-8.48,0.46,12.73
509629.796000,-0.961,-0.036,-0.197,-26.55,13.03,25.91
509629.843000,-0.969,-0.036,-0.202,-8.91,2.47,22.83
509629.890000,-0.975,-0.035,-0.211,-2.14,-3.11,10.38
509629.937000,-0.982,-0.032,-0.204,5.31,-4.15,3.02
509629.984000,-0.982,-0.02,-0.222,4.97,-7.57,-0.98
509630.031000,-0.969,-0.008,-0.241,2.84,-7.08,-3.23
509630.078000,-0.955,0.009,-0.239,0.21,-0.12,-1.98
509630.125000,-0.964,0.011,-0.226,-1.8,4.18,1.5
509630.171000,-0.97,-0.0,-0.218,-1.25,4.39,4.88
509630.218000,-0.979,-0.021,-0.199,3.39,2.01,6.13
509630.265000,-0.969,-0.035,-0.204,2.9,-0.82,4.88
509630.312000,-0.969,-0.034,-0.208,0.46,-0.24,1.5
509630.359000,-0.974,-0.033,-0.206,-0.82,0.37,0.03
509630.406000,-0.975,-0.026,-0.206,-2.87,-0.03,-2.62
509630.453000,-0.967,-0.009,-0.213,-3.11,-0.95,-3.88
509630.500000,-0.966,0.0,-0.218,-2.81,-0.24,-2.81
509630.562000,-0.967,-0.008,-0.222,-1.19,2.26,-1.13
509630.609000,-0.981,0.001,-0.207,-2.56,2.04,-1.43
509630.656000,-0.979,0.0,-0.2,-3.14,-0.52,-1.74
509630.703000,-0.965,0.006,-0.206,-3.97,-3.42,-1.25
509630.750000,-0.965,0.009,-0.216,-3.57,-3.51,0.98
509630.796000,-0.976,-0.019,-0.221,-5.68,-0.58,2.35
509630.843000,-0.98,-0.02,-0.22,-3.45,0.27,-0.06
509630.890000,-0.978,-0.01,-0.212,-0.24,1.8,-1.92
509630.937000,-0.976,0.002,-0.202,-0.85,2.32,-2.14
509630.984000,-0.971,0.004,-0.207,-2.29,0.24,-2.47
509631.031000,-0.973,0.011,-0.216,-1.01,0.79,-0.67
509631.078000,-0.979,0.001,-0.212,0.85,0.46,0.92
509631.125000,-0.971,-0.012,-0.214,2.69,0.27,1.04
509631.171000,-0.971,0.002,-0.207,3.51,1.28,0.85
