t_monotonic,ax,ay,az,gx,gy,gz
592259.609000,-0.952,0.054,-0.295,-2.75,3.63,1.25
592259.656000,-0.954,0.035,-0.276,-2.35,0.4,-2.23
592259.703000,-0.942,0.034,-0.297,-4.15,2.69,0.12
592259.765000,-0.947,0.042,-0.3,-6.07,7.05,1.77
592259.812000,-0.946,0.062,-0.315,-4.61,4.46,-1.92
592259.859000,-0.943,0.067,-0.32,-5.25,4.09,-2.72
592259.906000,-0.941,0.064,-0.318,-1.46,1.5,-2.2
592259.953000,-0.939,0.061,-0.317,3.42,0.27,1.86
592260.000000,-0.946,0.043,-0.304,4.64,-0.43,1.8
592260.046000,-0.944,0.043,-0.305,2.99,-0.37,0.67
592260.109000,-0.945,0.038,-0.31,0.4,1.01,0.31
592260.156000,-0.945,0.048,-0.308,0.4,1.19,-0.95
592260.203000,-0.941,0.053,-0.316,-0.46,0.31,-0.55
592260.250000,-0.938,0.051,-0.311,-1.89,1.31,0.0
592260.296000,-0.939,0.051,-0.312,-1.62,-0.43,-0.43
592260.343000,-0.952,0.055,-0.309,-2.87,0.31,-1.59
592260.390000,-0.945,0.056,-0.312,-3.75,1.68,-0.24
592260.437000,-0.94,0.053,-0.318,-3.11,1.22,-0.73
592260.484000,-0.941,0.057,-0.32,-1.74,1.01,-0.46
592260.531000,-0.952,0.051,-0.319,-2.5,1.86,-0.21
592260.578000,-0.944,0.048,-0.318,-1.5,0.73,-1.4
592260.625000,-0.937,0.065,-0.32,0.76,-0.06,-1.19
592260.671000,-0.939,0.054,-0.321,-0.52,0.82,0.18
592260.718000,-0.944,0.047,-0.31,-1.1,1.25,0.03
592260.765000,-0.937,0.053,-0.318,-1.53,0.31,-1.46
592260.812000,-0.953,0.05,-0.313,-2.9,1.86,0.49
592260.859000,-0.953,0.04,-0.311,-1.95,-0.82,-1.68
592260.906000,-0.938,0.059,-0.318,-2.66,0.58,-1.83
592260.953000,-0.938,0.057,-0.317,-2.17,1.13,0.34
592261.000000,-0.943,0.05,-0.311,-1.37,0.64,-0.24
592261.046000,-0.942,0.045,-0.317,-2.5,1.43,-0.34
592261.093000,-0.944,0.051,-0.318,-1.37,1.16,-0.15
592261.140000,-0.938,0.055,-0.323,-1.56,0.46,-1.83
592261.187000,-0.939,0.055,-0.314,-4.97,2.11,-1.65
592261.234000,-0.935,0.044,-0.32,-4.12,2.5,-1.92
592261.281000,-0.938,0.058,-0.318,-2.93,1.77,-1.16
592261.328000,-0.94,0.053,-0.316,-1.65,1.46,-0.82
592261.375000,-0.938,0.06,-0.318,-0.34,0.82,-0.27
592261.421000,-0.937,0.06,-0.33,-1.04,2.35,0.37
592261.468000,-0.941,0.053,-0.323,2.66,0.67,2.59
592261.515000,-0.929,0.054,-0.332,2.99,-0.27,1.5
592261.562000,-0.94,0.046,-0.332,-0.06,0.89,1.46
592261.609000,-0.948,0.04,-0.322,2.35,-0.34,0.4
592261.656000,-0.938,0.052,-0.323,0.43,0.55,0.18
592261.703000,-0.939,0.053,-0.324,-0.52,1.04,0.67
592261.750000,-0.939,0.051,-0.332,0.18,0.76,-0.37
592261.796000,-0.94,0.048,-0.328,0.37,0.7,0.24
592261.843000,-0.944,0.045,-0.329,-0.03,0.85,0.37
592261.890000,-0.932,0.058,-0.332,-0.55,0.52,-0.67
592261.937000,-0.935,0.05,-0.328,-0.55,0.95,-0.21
592261.984000,-0.942,0.056,-0.326,0.15,1.13,0.0
592262.031000,-0.937,0.053,-0.33,-1.53,1.28,-0.43
592262.078000,-0.934,0.059,-0.333,-0.76,1.07,0.12
592262.125000,-0.936,0.05,-0.334,0.43,-0.03,0.58
592262.171000,-0.937,0.055,-0.331,-0.82,0.7,-0.06
592262.218000,-0.936,0.057,-0.328,-0.24,0.24,0.27
592262.265000,-0.936,0.051,-0.329,1.31,0.31,1.01
592262.312000,-0.938,0.052,-0.329,0.27,0.43,0.21
592262.359000,-0.938,0.054,-0.332,0.82,0.79,0.55
592262.406000,-0.936,0.051,-0.33,0.7,0.7,0.52
592262.453000,-0.936,0.052,-0.328,0.43,0.55,0.34
592262.500000,-0.935,0.054,-0.328,-1.13,0.67,0.12
592262.546000,-0.936,0.045,-0.326,-0.85,0.55,-0.31
592262.593000,-0.935,0.061,-0.334,-0.98,0.46,-0.73
592262.640000,-0.937,0.061,-0.332,-1.46,0.43,-0.4
592262.687000,-0.934,0.054,-0.333,0.27,0.37,0.67
592262.734000,-0.934,0.058,-0.33,0.61,0.4,0.18
592262.781000,-0.934,0.064,-0.329,-0.7,0.95,-0.03
592262.828000,-0.937,0.045,-0.329,-1.1,0.98,0.82
592262.875000,-0.941,0.041,-0.332,0.89,0.37,0.21
592262.921000,-0.937,0.049,-0.329,-0.43,0.49,-0.92
592262.968000,-0.939,0.05,-0.332,-1.13,0.82,-1.01
592263.015000,-0.931,0.059,-0.337,-3.51,1.4,-1.86
592263.062000,-0.935,0.061,-0.338,-3.23,1.46,-0.79
592263.109000,-0.934,0.051,-0.333,-0.58,-0.03,0.21
592263.156000,-0.936,0.056,-0.335,-1.68,0.34,-0.55
592263.203000,-0.938,0.051,-0.333,-1.43,0.82,-0.09
592263.250000,-0.939,0.053,-0.334,-2.17,1.07,-0.89
592263.296000,-0.938,0.058,-0.336,-1.89,1.74,-0.79
592263.343000,-0.937,0.063,-0.342,-0.4,0.37,-1.04
592263.390000,-0.931,0.059,-0.337,0.76,0.06,0.0
592263.437000,-0.934,0.056,-0.334,1.37,-0.82,0.0
592263.484000,-0.933,0.055,-0.33,1.83,-0.79,0.61
