t_monotonic,ax,ay,az,gx,gy,gz
318116.140000,-0.198,-0.453,0.904,-0.55,1.59,-0.49
318116.171000,-0.199,-0.453,0.905,-0.61,1.04,-0.73
318116.171000,-0.199,-0.453,0.9,-0.18,0.0,-0.79
318116.171000,-0.196,-0.447,0.895,0.34,-0.52,-0.82
318116.187000,-0.19,-0.443,0.89,0.46,-0.82,-0.79
318116.187000,-0.188,-0.444,0.885,0.98,-0.46,-0.61
318116.203000,-0.188,-0.442,0.886,1.13,0.21,-0.37
318116.234000,-0.189,-0.439,0.885,0.85,0.58,-0.15
318116.234000,-0.187,-0.44,0.885,0.61,0.82,0.34
318116.250000,-0.187,-0.441,0.885,0.24,1.07,0.76
318116.250000,-0.188,-0.442,0.886,-0.15,1.37,1.04
318116.265000,-0.188,-0.443,0.892,-0.31,1.56,1.4
318116.281000,-0.188,-0.446,0.898,-0.15,1.62,1.62
318116.281000,-0.191,-0.448,0.899,-0.03,1.5,1.65
318116.296000,-0.191,-0.448,0.899,0.09,1.31,1.95
318116.312000,-0.19,-0.446,0.897,0.09,0.7,1.92
318116.312000,-0.188,-0.445,0.897,0.0,0.4,2.04
318116.328000,-0.187,-0.447,0.895,0.15,0.03,2.32
318116.328000,-0.188,-0.444,0.895,-0.18,-0.24,2.5
318116.343000,-0.187,-0.445,0.894,-0.31,-0.31,2.72
318116.343000,-0.187,-0.448,0.894,-0.27,-0.12,2.96
318116.359000,-0.188,-0.452,0.896,-0.43,0.27,3.23
318116.375000,-0.19,-0.451,0.9,-0.49,0.34,3.23
318116.390000,-0.193,-0.455,0.906,-0.46,0.34,3.23
318116.390000,-0.192,-0.458,0.908,-0.31,0.12,3.2
318116.406000,-0.193,-0.457,0.909,-0.24,-0.4,2.9
318116.421000,-0.193,-0.458,0.908,-0.06,-0.85,2.9
318116.421000,-0.193,-0.459,0.908,-0.18,-1.19,2.72
318116.437000,-0.191,-0.459,0.907,-0.31,-1.62,2.59
318116.437000,-0.192,-0.463,0.906,-0.27,-2.11,2.47
318116.453000,-0.192,-0.46,0.903,-0.09,-2.38,2.29
