trial_index,gesture,t_start,t_end,accepted
1,Pull,318164.125000,318166.156000,1
2,Pull,318171.328000,318173.406000,1
3,Pull,318180.109000,318182.140000,1
4,Push,318190.578000,318192.593000,1
5,Push,318200.984000,318203.062000,1
6,Push,318208.578000,318210.640000,1
7,Right,318220.625000,318222.625000,1
8,Right,318227.000000,318229.062000,1
9,Right,318232.390000,318234.468000,1
10,Left,318239.453000,318241.531000,1
11,Left,318245.843000,318247.921000,1
12,Left,318251.500000,318253.578000,1
13,Clapping,318260.187000,318262.265000,1
14,Clapping,318266.687000,318268.765000,1
15,Clapping,318277.250000,318279.343000,1
