t_monotonic,ax,ay,az,gx,gy,gz
1628858.558580,-0.745,-0.673,0.466,5.55,-4.79,5.68
1628858.603211,-0.756,-0.694,0.436,30.67,-15.5,-0.61
1628858.648657,-0.717,-0.665,0.417,51.09,-28.23,-20.84
1628858.688692,-0.703,-0.615,0.443,36.5,-37.39,-42.05
1628858.728788,-0.771,-0.619,0.455,23.41,-23.13,-42.3
1628858.773578,-0.665,-0.707,0.563,3.69,-30.85,-41.2
1628858.819529,-0.495,-0.762,0.605,-10.93,-79.2,-67.72
1628858.869290,-0.446,-0.907,0.838,38.0,-99.0,-38.76
1628858.909582,-0.509,-0.95,0.871,169.71,-162.72,20.05
1628858.952833,-0.34,-0.816,0.817,190.47,-199.07,37.32
1628858.999474,-0.132,-0.464,0.826,74.4,-144.14,-34.42
1628859.039890,-0.087,-0.361,0.937,-15.17,-122.04,-69.86
1628859.080329,-0.003,-0.339,0.897,-28.63,-109.78,-52.8
1628859.133595,0.084,-0.403,0.81,-39.77,-90.33,-41.57
1628859.179050,0.117,-0.434,0.719,-49.71,-77.91,-46.78
1628859.219094,0.184,-0.48,0.635,-66.59,-63.54,-44.8
1628859.259184,0.223,-0.516,0.584,-61.8,-47.98,-49.56
1628859.299332,0.276,-0.494,0.507,-51.85,-36.87,-39.0
1628859.339424,0.298,-0.501,0.499,-34.91,-22.98,-17.27
1628859.379643,0.339,-0.498,0.483,-2.47,-11.96,11.23
1628859.423759,0.411,-0.528,0.524,21.52,-1.4,27.86
1628859.468944,0.434,-0.569,0.664,35.16,25.15,39.09
1628859.509573,0.27,-0.672,0.879,32.72,60.12,36.38
1628859.559091,0.079,-0.664,1.024,8.33,23.01,3.45
1628859.604068,0.159,-0.574,0.927,-15.69,-17.37,-3.78
1628859.654063,0.275,-0.458,0.783,-6.44,-17.94,7.54
1628859.704224,0.281,-0.549,0.687,-20.84,-2.23,23.13
1628859.749757,0.351,-0.699,0.726,-20.11,-21.03,22.83
1628859.798998,0.306,-0.871,0.747,8.06,-3.2,28.75
1628859.843389,0.167,-0.919,0.819,0.58,4.06,12.91
1628859.890293,0.151,-0.782,0.783,-1.53,-30.0,-13.18
1628859.940479,0.241,-0.549,0.661,-1.13,-41.72,-15.41
1628859.990032,0.303,-0.492,0.632,-9.37,-27.19,6.96
1628860.030154,0.332,-0.532,0.647,-13.12,-11.78,21.06
1628860.071123,0.339,-0.584,0.666,-16.02,1.65,26.58
1628860.120719,0.321,-0.688,0.679,-17.49,14.28,23.35
1628860.173257,0.257,-0.772,0.735,-1.28,16.24,17.49
1628860.220703,0.206,-0.775,0.745,3.27,8.67,4.49
1628860.269776,0.205,-0.744,0.687,-6.78,-4.06,-1.68
1628860.320606,0.234,-0.757,0.629,-12.76,-3.02,-0.89
1628860.363774,0.244,-0.76,0.586,-9.25,-3.23,-1.46
1628860.409819,0.253,-0.761,0.554,4.06,-0.03,0.64
1628860.459521,0.227,-0.756,0.581,16.21,26.12,5.92
1628860.509714,0.195,-0.741,0.642,34.73,44.98,-1.22
1628860.560398,0.174,-0.689,0.68,48.16,58.32,-6.38
1628860.610384,0.17,-0.682,0.77,65.03,59.45,-10.38
1628860.663711,0.365,-0.617,0.863,162.97,96.29,6.96
1628860.710014,0.283,-0.266,1.105,197.88,165.17,27.04
