trial_index,gesture,t_start,t_end,accepted
1,One-Arm Boxing,1628871.849623,1628873.915215,1
2,Pull,1628880.114590,1628882.201631,1
3,Push,1628887.405691,1628889.480720,1
4,Pull,1628893.874409,1628895.974187,1
5,Push,1628900.023532,1628902.098862,1
6,Push,1628907.695967,1628909.774203,1
7,Pull,1628914.922185,1628916.994914,1
8,Two-Arm Boxing,1628922.513163,1628924.583992,1
9,Pull,1628930.288958,1628932.354286,1
10,Push,1628936.572735,1628938.653786,1
11,Two-Arm Boxing,1628948.372993,1628950.444225,1
12,Two-Arm Boxing,1628955.540160,1628957.610479,1
13,One-Arm Boxing,1628965.666438,1628967.735925,1
14,One-Arm Boxing,1628972.244804,1628974.318893,1
15,Push,1628979.818656,1628981.897081,1
16,Push,1628986.645282,1628988.713641,1
17,Two-Arm Boxing,1628994.493087,1628996.570771,1
18,Pull,1629002.712722,1629004.779598,1
19,Two-Arm Boxing,1629012.022635,1629014.100830,1
20,Two-Arm Boxing,1629019.118431,1629021.201023,1
21,Two-Arm Boxing,1629025.969514,1629028.042799,1
22,One-Arm Boxing,1629032.742632,1629034.812585,1
23,One-Arm Boxing,1629039.006730,1629041.084168,1
24,Two-Arm Boxing,1629046.210321,1629048.287981,1
25,Push,1629053.563299,1629055.631376,1
26,One-Arm Boxing,1629061.363124,1629063.440904,1
27,One-Arm Boxing,1629068.422915,1629070.502673,1
28,Push,1629075.640467,1629077.708122,1
29,Pull,1629082.089608,1629084.164454,1
30,One-Arm Boxing,1629090.610637,1629092.687166,1
31,Pull,1629098.227012,1629100.305197,1
32,Push,1629105.055753,1629107.128042,1
33,One-Arm Boxing,1629112.686284,1629114.761878,1
34,Two-Arm Boxing,1629118.856999,1629120.935542,1
35,Pull,1629125.280804,1629127.356291,1
36,Pull,1629131.968623,1629134.044495,1
37,Pull,1629138.986876,1629141.060101,1
38,One-Arm Boxing,1629146.394558,1629148.475954,1
39,Push,1629153.857208,1629155.925999,1
40,Two-Arm Boxing,1629162.230765,1629164.299626,1
