trial_index,gesture,t_start,t_end,accepted
1,Push,503885.421000,503887.453000,1
2,Push,503890.453000,503892.515000,1
3,Push,503896.468000,503898.562000,1
4,Push,503900.968000,503903.062000,1
5,Push,503905.250000,503907.343000,1
6,Push,503909.578000,503911.640000,1
7,Push,503913.984000,503916.031000,1
8,Push,503918.859000,503920.937000,1
9,Push,503923.406000,503925.468000,1
10,Push,503927.359000,503929.406000,1
11,Pull,503937.968000,503940.046000,1
12,Pull,503942.328000,503944.359000,1
13,Pull,503946.765000,503948.796000,1
14,Pull,503951.406000,503953.421000,1
15,Pull,503955.718000,503957.781000,1
16,Pull,503960.234000,503962.312000,1
17,Pull,503964.921000,503967.000000,1
18,Pull,503969.625000,503971.625000,1
19,Pull,503973.875000,503975.875000,1
20,Pull,503978.265000,503980.328000,1
